workload,case,length,batch,threads,profile,isa,avg_fwd_ms,avg_fwd_sp_gflops,avg_bwd_ms,avg_bwd_sp_gflops,avg_mem_mb,fwd_pct_of_peak,bwd_pct_of_peak,fwd_speedup_vs_sse42_1t,bwd_speedup_vs_sse42_1t,samples_ok,samples_skip,samples_expected,quality,note
throughput,n32_b1,32,1,1,baseline_sse42_1t,SSE4_2,0.000084,9.523810,0.000110,7.272727,0.000000,0.4509,0.3444,1.0000,1.0000,1,0,1,ok,-
throughput,n32_b1,32,1,10,avx512_phys,AVX512,0.000040,20.000000,0.000037,21.621622,0.000000,0.9470,1.0238,2.1000,2.9730,1,0,1,ok,-
throughput,n32_b1,32,1,20,avx512_logical,AVX512,0.000536,1.492537,0.000037,21.621622,0.000000,0.0707,1.0238,0.1567,2.9730,1,0,1,ok,-
throughput,n32_b2,32,2,1,baseline_sse42_1t,SSE4_2,0.000133,12.030075,0.000136,11.764706,0.000000,0.5696,0.5570,1.0000,1.0000,1,0,1,ok,-
throughput,n32_b2,32,2,10,avx512_phys,AVX512,0.000054,29.629630,0.000051,31.372549,0.000000,1.4029,1.4854,2.4630,2.6667,1,0,1,ok,-
throughput,n32_b2,32,2,20,avx512_logical,AVX512,0.000051,31.372549,0.000049,32.653061,0.000000,1.4854,1.5461,2.6078,2.7755,1,0,1,ok,-
throughput,n32_b4,32,4,1,baseline_sse42_1t,SSE4_2,0.000215,14.883721,0.000219,14.611872,0.000000,0.7047,0.6919,1.0000,1.0000,1,0,1,ok,-
throughput,n32_b4,32,4,10,avx512_phys,AVX512,0.000086,37.209302,0.000721,4.438280,0.000000,1.7618,0.2101,2.5000,0.3037,1,0,1,ok,-
throughput,n32_b4,32,4,20,avx512_logical,AVX512,0.000085,37.647059,0.000074,43.243243,0.000000,1.7825,2.0475,2.5294,2.9595,1,0,1,ok,-
throughput,n32_b8,32,8,1,baseline_sse42_1t,SSE4_2,0.000379,16.886544,0.000406,15.763547,0.000000,0.7996,0.7464,1.0000,1.0000,1,0,1,ok,-
throughput,n32_b8,32,8,10,avx512_phys,AVX512,0.000121,52.892562,0.000121,52.892562,0.000000,2.5044,2.5044,3.1322,3.3554,1,0,1,ok,-
throughput,n32_b8,32,8,20,avx512_logical,AVX512,0.000121,52.892562,0.000122,52.459016,0.000000,2.5044,2.4839,3.1322,3.3279,1,0,1,ok,-
throughput,n32_b16,32,16,1,baseline_sse42_1t,SSE4_2,0.000847,15.112161,0.000895,14.301676,0.010000,0.7155,0.6772,1.0000,1.0000,1,0,1,ok,-
throughput,n32_b16,32,16,10,avx512_phys,AVX512,0.001867,6.855919,0.000790,16.202532,0.010000,0.3246,0.7672,0.4537,1.1329,1,0,1,ok,-
throughput,n32_b16,32,16,20,avx512_logical,AVX512,0.001518,8.432148,0.000810,15.802469,0.010000,0.3992,0.7482,0.5580,1.1049,1,0,1,ok,-
throughput,n32_b32,32,32,1,baseline_sse42_1t,SSE4_2,0.001657,15.449608,0.001717,14.909726,0.020000,0.7315,0.7060,1.0000,1.0000,1,0,1,ok,-
throughput,n32_b32,32,32,10,avx512_phys,AVX512,0.001511,16.942422,0.001436,17.827298,0.020000,0.8022,0.8441,1.0966,1.1957,1,0,1,ok,-
throughput,n32_b32,32,32,20,avx512_logical,AVX512,0.002363,10.833686,0.001358,18.851252,0.020000,0.5130,0.8926,0.7012,1.2644,1,0,1,ok,-
throughput,n32_b64,32,64,1,baseline_sse42_1t,SSE4_2,0.003234,15.831787,0.003450,14.840580,0.030000,0.7496,0.7027,1.0000,1.0000,1,0,1,ok,-
