workload,case,length,batch,threads,profile,isa,avg_fwd_ms,avg_fwd_sp_gflops,avg_bwd_ms,avg_bwd_sp_gflops,avg_mem_mb,fwd_pct_of_peak,bwd_pct_of_peak,fwd_speedup_vs_sse42_1t,bwd_speedup_vs_sse42_1t,samples_ok,samples_skip,samples_expected,quality,note
throughput,n32_b1,32,1,1,baseline_sse42_1t,SSE4_2,0.000050,16.064257,0.000051,15.625000,0.000000,0.7606,0.7398,1.0000,1.0000,5,0,5,ok,-
throughput,n32_b1,32,1,10,avx512_phys,AVX512,0.000166,4.813478,0.000058,13.698630,0.000000,0.2279,0.6486,0.2996,0.8767,5,0,5,ok,-
throughput,n32_b1,32,1,20,avx512_logical,AVX512,0.000060,13.289037,0.000047,17.021277,0.000000,0.6292,0.8059,0.8272,1.0894,5,0,5,ok,-
throughput,n32_b4,32,4,1,baseline_sse42_1t,SSE4_2,0.000127,25.117739,0.000136,23.564065,0.000000,1.1893,1.1157,1.0000,1.0000,5,0,5,ok,-
throughput,n32_b4,32,4,10,avx512_phys,AVX512,0.000243,13.190437,0.000090,35.634744,0.000000,0.6245,1.6873,0.5251,1.5122,5,0,5,ok,-
throughput,n32_b4,32,4,20,avx512_logical,AVX512,0.000084,38.095238,0.000084,37.914692,0.000000,1.8038,1.7952,1.5167,1.6090,5,0,5,ok,-
throughput,n32_b16,32,16,1,baseline_sse42_1t,SSE4_2,0.000460,27.850305,0.000491,26.069246,0.010000,1.3187,1.2343,1.0000,1.0000,5,0,5,ok,-
throughput,n32_b16,32,16,10,avx512_phys,AVX512,0.001753,7.300935,0.000946,13.533517,0.010000,0.3457,0.6408,0.2621,0.5191,5,0,5,ok,-
throughput,n32_b16,32,16,20,avx512_logical,AVX512,0.001634,7.835455,0.001167,10.966415,0.010000,0.3710,0.5192,0.2813,0.4207,5,0,5,ok,-
throughput,n64_b1,64,1,1,baseline_sse42_1t,SSE4_2,0.000103,18.713450,0.000108,17.777778,0.000000,0.8861,0.8418,1.0000,1.0000,5,0,5,ok,-
throughput,n64_b1,64,1,10,avx512_phys,AVX512,0.000044,43.835616,0.000044,43.243243,0.000000,2.0756,2.0475,2.3425,2.4324,5,0,5,ok,-
throughput,n64_b1,64,1,20,avx512_logical,AVX512,0.000044,43.636364,0.000043,44.444444,0.000000,2.0661,2.1044,2.3318,2.5000,5,0,5,ok,-
throughput,n64_b4,64,4,1,baseline_sse42_1t,SSE4_2,0.000339,22.628167,0.000342,22.443016,0.000000,1.0714,1.0626,1.0000,1.0000,5,0,5,ok,-
throughput,n64_b4,64,4,10,avx512_phys,AVX512,0.000105,73.282443,0.000111,69.189189,0.000000,3.4698,3.2760,3.2385,3.0829,5,0,5,ok,-
throughput,n64_b4,64,4,20,avx512_logical,AVX512,0.000163,47.001224,0.000111,69.439421,0.000000,2.2254,3.2879,2.0771,3.0940,5,0,5,ok,-
throughput,n64_b16,64,16,1,baseline_sse42_1t,SSE4_2,0.001363,22.541826,0.001396,21.999427,0.020000,1.0673,1.0416,1.0000,1.0000,5,0,5,ok,-
throughput,n64_b16,64,16,10,avx512_phys,AVX512,0.001538,19.973992,0.001205,25.493776,0.020000,0.9457,1.2071,0.8861,1.1588,5,0,5,ok,-
