Function                                     CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Spin Time:Imbalance or Serial Spinning  CPU Time:Spin Time:Lock Contention  CPU Time:Spin Time:Other  CPU Time:Overhead Time  CPU Time:Overhead Time:Creation  CPU Time:Overhead Time:Scheduling  CPU Time:Overhead Time:Reduction  CPU Time:Overhead Time:Atomics  CPU Time:Overhead Time:Other  Module                    Function (Full)                                          Source File      Start Address
-------------------------------------------  --------  -----------------------  ------------------  -----------------------------------------------  ----------------------------------  ------------------------  ----------------------  -------------------------------  ---------------------------------  --------------------------------  ------------------------------  ----------------------------  ------------------------  -------------------------------------------------------  ---------------  -------------
memset                                         0.200s                   0.200s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so           memset                                                   [Unknown]        0x6a3b0      
__kmp_fork_barrier                             0.150s                       0s              0.150s                                           0.140s                                  0s                    0.010s                      0s                               0s                                 0s                                0s                              0s                            0s  libiomp5.so               __kmp_fork_barrier(int, int)                             kmp_barrier.cpp  0x82a40      
[ld-linux-x86-64.so.2]                         0.100s                   0.100s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  ld-linux-x86-64.so.2      [ld-linux-x86-64.so.2]                                   [Unknown]        0            
dlopen                                         0.080s                   0.080s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libdl.so.2                dlopen                                                   [Unknown]        0xfe0        
memcmp                                         0.050s                   0.050s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so           memcmp                                                   [Unknown]        0x69ce0      
[MKL FFT]@avx512_mg_colbatch_plain_bwd_16_s    0.020s                   0.020s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libmkl_avx512.so.2        mkl_dft_avx512_mg_colbatch_plain_bwd_16_s                [Unknown]        0x219ee20    
__kmp_join_call                                0.020s                       0s              0.020s                                           0.020s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libiomp5.so               __kmp_join_call                                          kmp_runtime.cpp  0xcb080      
[MKL SERVICE]@domain_get_max_threads           0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libmkl_intel_thread.so.2  mkl_serv_domain_get_max_threads                          [Unknown]        0x29ce00     
memmove                                        0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so           memmove                                                  [Unknown]        0x69e90      
TraverseDwarfRecursive                         0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libpindwarf.so            TraverseDwarfRecursive(Dwarf_Die_s*&, DWARFData&, int&)  [Unknown]        0x61f0       
