Function                                      Module                Function (Full)                                                             Source File      Start Address
--------------------------------------------  --------------------  --------------------------------------------------------------------------  ---------------  -------------
[MKL FFT]@avx512_mg_colbatch_plain_fwd_16_s   libmkl_avx512.so.2    mkl_dft_avx512_mg_colbatch_plain_fwd_16_s                                   [Unknown]        0x219a6f0    
[MKL FFT]@avx512_mg_rowbatch_twidl_fwd_032_s  libmkl_avx512.so.2    mkl_dft_avx512_mg_rowbatch_twidl_fwd_032_s                                  [Unknown]        0x213ef40    
[ld-linux-x86-64.so.2]                        ld-linux-x86-64.so.2  [ld-linux-x86-64.so.2]                                                      [Unknown]        0            
__intel_avx_rep_memset                        libtbbmalloc.so.2     __intel_avx_rep_memset                                                      [Unknown]        0x1e7e0      
__kmp_fork_barrier                            libiomp5.so           __kmp_fork_barrier(int, int)                                                kmp_barrier.cpp  0x82a40      
__kmp_join_call                               libiomp5.so           __kmp_join_call                                                             kmp_runtime.cpp  0xcb080      
_dwarf_get_abbrev_for_code                    libdwarf.so           _dwarf_get_abbrev_for_code                                                  [Unknown]        0x4f230      
dlopen                                        libdl.so.2            dlopen                                                                      [Unknown]        0xfe0        
memcmp                                        libc-dynamic.so       memcmp                                                                      [Unknown]        0x69ce0      
memmove                                       libc-dynamic.so       memmove                                                                     [Unknown]        0x69e90      
memset                                        libc-dynamic.so       memset                                                                      [Unknown]        0x6a3b0      
std::__atomic_base<unsigned long>::store      libtbbmalloc.so.2     std::__atomic_base<unsigned long>::store(unsigned long, std::memory_order)  atomic_base.h    0x8fb9       
