Function                                     CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Spin Time:Imbalance or Serial Spinning  CPU Time:Spin Time:Lock Contention  CPU Time:Spin Time:Other  CPU Time:Overhead Time  CPU Time:Overhead Time:Creation  CPU Time:Overhead Time:Scheduling  CPU Time:Overhead Time:Reduction  CPU Time:Overhead Time:Atomics  CPU Time:Overhead Time:Other  Module                Function (Full)                            Source File      Start Address
-------------------------------------------  --------  -----------------------  ------------------  -----------------------------------------------  ----------------------------------  ------------------------  ----------------------  -------------------------------  ---------------------------------  --------------------------------  ------------------------------  ----------------------------  --------------------  -----------------------------------------  ---------------  -------------
__kmp_fork_barrier                             0.430s                       0s              0.430s                                           0.410s                                  0s                    0.020s                      0s                               0s                                 0s                                0s                              0s                            0s  libiomp5.so           __kmp_fork_barrier(int, int)               kmp_barrier.cpp  0x82a40      
dlopen                                         0.140s                   0.140s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libdl.so.2            dlopen                                     [Unknown]        0xfe0        
memset                                         0.140s                   0.140s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so       memset                                     [Unknown]        0x6a3b0      
[ld-linux-x86-64.so.2]                         0.068s                   0.068s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  ld-linux-x86-64.so.2  [ld-linux-x86-64.so.2]                     [Unknown]        0            
OS_BARESYSCALL_DoCallAsmIntel64Linux           0.040s                   0.040s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so       OS_BARESYSCALL_DoCallAsmIntel64Linux       [Unknown]        0x80954      
memmove                                        0.040s                   0.040s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so       memmove                                    [Unknown]        0x69e90      
[MKL FFT]@avx512_mg_colbatch_twidl_bwd_16_s    0.040s                   0.040s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libmkl_avx512.so.2    mkl_dft_avx512_mg_colbatch_twidl_bwd_16_s  [Unknown]        0x21a1240    
_dwarf_get_alloc                               0.030s                   0.030s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libdwarf.so           _dwarf_get_alloc                           [Unknown]        0xbda0       
rand                                           0.012s                   0.012s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc.so.6             rand                                       [Unknown]        0x51e90      
__kmp_fork_call                                0.010s                       0s                  0s                                               0s                                  0s                        0s                  0.010s                               0s                                 0s                                0s                              0s                        0.010s  libiomp5.so           __kmp_fork_call                            kmp_runtime.cpp  0xc8080      
func@0x13360                                   0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so       func@0x13360                               [Unknown]        0x13360      
memcmp                                         0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so       memcmp                                     [Unknown]        0x69ce0      
[MKL FFT]@avx512_mg_colbatch_twidl_fwd_16_s    0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libmkl_avx512.so.2    mkl_dft_avx512_mg_colbatch_twidl_fwd_16_s  [Unknown]        0x219cb20    
_tsearch_inner.constprop.0                     0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libdwarf.so           _tsearch_inner.constprop.0                 [Unknown]        0x4db30      
