workload,case,length,batch,threads,profile,isa,avg_fwd_ms,avg_fwd_sp_gflops,avg_bwd_ms,avg_bwd_sp_gflops,avg_mem_mb,fwd_pct_of_peak,bwd_pct_of_peak,fwd_speedup_vs_sse42_1t,bwd_speedup_vs_sse42_1t,samples_ok,samples_skip,samples_expected,quality,note
throughput,n32_b1,32,1,1,baseline_sse42_1t,SSE4_2,0.000045,17.777778,0.000046,17.391304,0.000000,0.8418,0.8235,1.0000,1.0000,1,0,1,ok,-
throughput,n32_b1,32,1,10,avx512_phys,AVX512,0.000068,11.764706,0.000076,10.526316,0.000000,0.5570,0.4984,0.6618,0.6053,1,0,1,ok,-
throughput,n32_b1,32,1,20,avx512_logical,AVX512,0.000546,1.465201,0.000041,19.512195,0.000000,0.0694,0.9239,0.0824,1.1220,1,0,1,ok,-
throughput,n32_b2,32,2,1,baseline_sse42_1t,SSE4_2,0.000066,24.242424,0.000069,23.188406,0.000000,1.1478,1.0979,1.0000,1.0000,1,0,1,ok,-
throughput,n32_b2,32,2,10,avx512_phys,AVX512,0.000053,30.188679,0.000051,31.372549,0.000000,1.4294,1.4854,1.2453,1.3529,1,0,1,ok,-
throughput,n32_b2,32,2,20,avx512_logical,AVX512,0.000050,32.000000,0.000052,30.769231,0.000000,1.5152,1.4569,1.3200,1.3269,1,0,1,ok,-
throughput,n32_b4,32,4,1,baseline_sse42_1t,SSE4_2,0.000115,27.826087,0.000117,27.350427,0.000000,1.3175,1.2950,1.0000,1.0000,1,0,1,ok,-
throughput,n32_b4,32,4,10,avx512_phys,AVX512,0.000568,5.633803,0.000069,46.376812,0.000000,0.2668,2.1959,0.2025,1.6957,1,0,1,ok,-
throughput,n32_b4,32,4,20,avx512_logical,AVX512,0.000554,5.776173,0.000073,43.835616,0.000000,0.2735,2.0756,0.2076,1.6027,1,0,1,ok,-
throughput,n32_b8,32,8,1,baseline_sse42_1t,SSE4_2,0.000217,29.493088,0.000223,28.699552,0.000000,1.3965,1.3589,1.0000,1.0000,1,0,1,ok,-
