Function                               CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Spin Time:Imbalance or Serial Spinning  CPU Time:Spin Time:Lock Contention  CPU Time:Spin Time:Other  CPU Time:Overhead Time  CPU Time:Overhead Time:Creation  CPU Time:Overhead Time:Scheduling  CPU Time:Overhead Time:Reduction  CPU Time:Overhead Time:Atomics  CPU Time:Overhead Time:Other  Module                    Function (Full)                        Source File      Start Address
-------------------------------------  --------  -----------------------  ------------------  -----------------------------------------------  ----------------------------------  ------------------------  ----------------------  -------------------------------  ---------------------------------  --------------------------------  ------------------------------  ----------------------------  ------------------------  -------------------------------------  ---------------  -------------
memset                                   0.120s                   0.120s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so           memset                                 [Unknown]        0x6a3b0      
dlopen                                   0.100s                   0.100s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libdl.so.2                dlopen                                 [Unknown]        0xfe0        
[ld-linux-x86-64.so.2]                   0.080s                   0.080s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  ld-linux-x86-64.so.2      [ld-linux-x86-64.so.2]                 [Unknown]        0            
memcmp                                   0.040s                   0.040s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so           memcmp                                 [Unknown]        0x69ce0      
dwarf_tag                                0.020s                   0.020s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libdwarf.so               dwarf_tag                              [Unknown]        0x45470      
__kmp_fork_barrier                       0.020s                       0s              0.020s                                           0.010s                                  0s                    0.010s                      0s                               0s                                 0s                                0s                              0s                            0s  libiomp5.so               __kmp_fork_barrier(int, int)           kmp_barrier.cpp  0x82a40      
[MKL SERVICE]@domain_get_max_threads     0.010s                       0s                  0s                                               0s                                  0s                        0s                  0.010s                               0s                                 0s                                0s                              0s                        0.010s  libmkl_intel_thread.so.2  mkl_serv_domain_get_max_threads        [Unknown]        0x29ce00     
__kmp_fork_call                          0.010s                       0s                  0s                                               0s                                  0s                        0s                  0.010s                               0s                                 0s                                0s                              0s                        0.010s  libiomp5.so               __kmp_fork_call                        kmp_runtime.cpp  0xc8080      
_dwarf_calculate_info_section_end_ptr    0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libdwarf.so               _dwarf_calculate_info_section_end_ptr  [Unknown]        0x46310      
strlen                                   0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so           strlen                                 [Unknown]        0x3e730      
