Function                                     Module                Function (Full)                            Source File      Start Address
-------------------------------------------  --------------------  -----------------------------------------  ---------------  -------------
OS_BARESYSCALL_DoCallAsmIntel64Linux         libc-dynamic.so       OS_BARESYSCALL_DoCallAsmIntel64Linux       [Unknown]        0x80954      
[MKL FFT]@avx512_mg_colbatch_plain_fwd_16_s  libmkl_avx512.so.2    mkl_dft_avx512_mg_colbatch_plain_fwd_16_s  [Unknown]        0x219a6f0    
[MKL FFT]@avx512_mg_colbatch_twidl_bwd_16_s  libmkl_avx512.so.2    mkl_dft_avx512_mg_colbatch_twidl_bwd_16_s  [Unknown]        0x21a1240    
[ld-linux-x86-64.so.2]                       ld-linux-x86-64.so.2  [ld-linux-x86-64.so.2]                     [Unknown]        0            
__kmp_fork_barrier                           libiomp5.so           __kmp_fork_barrier(int, int)               kmp_barrier.cpp  0x82a40      
_dwarf_next_die_info_ptr.constprop.0         libdwarf.so           _dwarf_next_die_info_ptr.constprop.0       [Unknown]        0xfe80       
dlopen                                       libdl.so.2            dlopen                                     [Unknown]        0xfe0        
func@0x13360                                 libc-dynamic.so       func@0x13360                               [Unknown]        0x13360      
memcmp                                       libc-dynamic.so       memcmp                                     [Unknown]        0x69ce0      
memmove                                      libc-dynamic.so       memmove                                    [Unknown]        0x69e90      
memset                                       libc-dynamic.so       memset                                     [Unknown]        0x6a3b0      
rand                                         libc.so.6             rand                                       [Unknown]        0x51e90      
strdup                                       libc-dynamic.so       strdup                                     [Unknown]        0x3e5b0      
