Function                                      CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Spin Time:Imbalance or Serial Spinning  CPU Time:Spin Time:Lock Contention  CPU Time:Spin Time:Other  CPU Time:Overhead Time  CPU Time:Overhead Time:Creation  CPU Time:Overhead Time:Scheduling  CPU Time:Overhead Time:Reduction  CPU Time:Overhead Time:Atomics  CPU Time:Overhead Time:Other  Module                Function (Full)                                                             Source File      Start Address
--------------------------------------------  --------  -----------------------  ------------------  -----------------------------------------------  ----------------------------------  ------------------------  ----------------------  -------------------------------  ---------------------------------  --------------------------------  ------------------------------  ----------------------------  --------------------  --------------------------------------------------------------------------  ---------------  -------------
__kmp_fork_barrier                              0.140s                       0s              0.140s                                           0.140s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libiomp5.so           __kmp_fork_barrier(int, int)                                                kmp_barrier.cpp  0x82a40      
memset                                          0.090s                   0.090s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so       memset                                                                      [Unknown]        0x6a3b0      
dlopen                                          0.070s                   0.070s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libdl.so.2            dlopen                                                                      [Unknown]        0xfe0        
[ld-linux-x86-64.so.2]                          0.060s                   0.060s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  ld-linux-x86-64.so.2  [ld-linux-x86-64.so.2]                                                      [Unknown]        0            
memmove                                         0.050s                   0.050s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so       memmove                                                                     [Unknown]        0x69e90      
memcmp                                          0.050s                   0.050s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so       memcmp                                                                      [Unknown]        0x69ce0      
OS_BARESYSCALL_DoCallAsmIntel64Linux            0.020s                   0.020s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so       OS_BARESYSCALL_DoCallAsmIntel64Linux                                        [Unknown]        0x80954      
_dwarf_check_string_valid                       0.020s                   0.020s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libdwarf.so           _dwarf_check_string_valid                                                   [Unknown]        0x4e640      
[MKL FFT]@avx512_mg_colbatch_plain_fwd_16_s     0.020s                   0.020s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libmkl_avx512.so.2    mkl_dft_avx512_mg_colbatch_plain_fwd_16_s                                   [Unknown]        0x219a6f0    
[MKL FFT]@avx512_mg_rowbatch_twidl_bwd_032_s    0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libmkl_avx512.so.2    mkl_dft_avx512_mg_rowbatch_twidl_bwd_032_s                                  [Unknown]        0x2145280    
std::__atomic_base<unsigned long>::store        0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libtbbmalloc.so.2     std::__atomic_base<unsigned long>::store(unsigned long, std::memory_order)  atomic_base.h    0x7f87       
_tsearch_inner.constprop.0                      0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libdwarf.so           _tsearch_inner.constprop.0                                                  [Unknown]        0x4db30      
