Function                                      Module                    Function (Full)                             Source File      Start Address
--------------------------------------------  ------------------------  ------------------------------------------  ---------------  -------------
[MKL FFT]@avx512_mg_colbatch_plain_fwd_16_s   libmkl_avx512.so.2        mkl_dft_avx512_mg_colbatch_plain_fwd_16_s   [Unknown]        0x219a6f0    
[MKL FFT]@avx512_mg_colbatch_twidl_bwd_16_s   libmkl_avx512.so.2        mkl_dft_avx512_mg_colbatch_twidl_bwd_16_s   [Unknown]        0x21a1240    
[MKL FFT]@avx512_mg_colbatch_twidl_fwd_16_s   libmkl_avx512.so.2        mkl_dft_avx512_mg_colbatch_twidl_fwd_16_s   [Unknown]        0x219cb20    
[MKL FFT]@avx512_mg_rowbatch_twidl_bwd_032_s  libmkl_avx512.so.2        mkl_dft_avx512_mg_rowbatch_twidl_bwd_032_s  [Unknown]        0x2145280    
[MKL FFT]@avx512_mg_rowbatch_twidl_fwd_032_s  libmkl_avx512.so.2        mkl_dft_avx512_mg_rowbatch_twidl_fwd_032_s  [Unknown]        0x213ef40    
[MKL SERVICE]@domain_get_max_threads          libmkl_intel_thread.so.2  mkl_serv_domain_get_max_threads             [Unknown]        0x29ce00     
[ld-linux-x86-64.so.2]                        ld-linux-x86-64.so.2      [ld-linux-x86-64.so.2]                      [Unknown]        0            
__kmp_fork_barrier                            libiomp5.so               __kmp_fork_barrier(int, int)                kmp_barrier.cpp  0x82a40      
_dwarf_get_alloc                              libdwarf.so               _dwarf_get_alloc                            [Unknown]        0xbda0       
_tsearch_inner.constprop.0                    libdwarf.so               _tsearch_inner.constprop.0                  [Unknown]        0x4db30      
dlopen                                        libdl.so.2                dlopen                                      [Unknown]        0xfe0        
memcmp                                        libc-dynamic.so           memcmp                                      [Unknown]        0x69ce0      
memmove                                       libc-dynamic.so           memmove                                     [Unknown]        0x69e90      
memset                                        libc-dynamic.so           memset                                      [Unknown]        0x6a3b0      
mm_account_ptr_by_tid                         libmkl_core.so.2          mm_account_ptr_by_tid                       [Unknown]        0x212f70     
strlen                                        libc-dynamic.so           strlen                                      [Unknown]        0x3e730      
