workload,case,length,batch,threads,profile,isa,avg_fwd_ms,avg_fwd_sp_gflops,avg_bwd_ms,avg_bwd_sp_gflops,avg_mem_mb,fwd_pct_of_peak,bwd_pct_of_peak,fwd_speedup_vs_sse42_1t,bwd_speedup_vs_sse42_1t,samples_ok,samples_skip,samples_expected,quality,note
throughput,n32_b1,32,1,1,baseline_sse42_1t,SSE4_2,0.000046,17.467249,0.000050,16.129032,0.000000,0.8270,0.7637,1.0000,1.0000,5,0,5,ok,-
throughput,n32_b1,32,1,10,avx512_phys,AVX512,0.000063,12.618297,0.000049,16.326531,0.000000,0.5975,0.7730,0.7224,1.0122,5,0,5,ok,-
throughput,n32_b1,32,1,20,avx512_logical,AVX512,0.000069,11.661808,0.000150,5.319149,0.000000,0.5522,0.2519,0.6676,0.3298,5,0,5,ok,-
throughput,n32_b4,32,4,1,baseline_sse42_1t,SSE4_2,0.000153,20.887728,0.000118,27.027027,0.000000,0.9890,1.2797,1.0000,1.0000,5,0,5,ok,-
throughput,n32_b4,32,4,10,avx512_phys,AVX512,0.000083,38.647343,0.000085,37.558685,0.000000,1.8299,1.7783,1.8502,1.3897,5,0,5,ok,-
throughput,n32_b4,32,4,20,avx512_logical,AVX512,0.000084,38.095238,0.000087,36.951501,0.000000,1.8038,1.7496,1.8238,1.3672,5,0,5,ok,-
throughput,n32_b16,32,16,1,baseline_sse42_1t,SSE4_2,0.000417,30.666028,0.000436,29.344337,0.010000,1.4520,1.3894,1.0000,1.0000,5,0,5,ok,-
throughput,n32_b16,32,16,10,avx512_phys,AVX512,0.001629,7.856617,0.001125,11.381825,0.010000,0.3720,0.5389,0.2562,0.3879,5,0,5,ok,-
throughput,n32_b16,32,16,20,avx512_logical,AVX512,0.002026,6.317868,0.000969,13.204044,0.010000,0.2991,0.6252,0.2060,0.4500,5,0,5,ok,-
throughput,n32_b64,32,64,1,baseline_sse42_1t,SSE4_2,0.001635,31.307325,0.001657,30.895486,0.030000,1.4824,1.4629,1.0000,1.0000,5,0,5,ok,-
throughput,n32_b64,32,64,10,avx512_phys,AVX512,0.002451,20.892843,0.001436,35.649631,0.030000,0.9892,1.6880,0.6673,1.1539,5,0,5,ok,-
throughput,n32_b64,32,64,20,avx512_logical,AVX512,0.002670,19.178903,0.001487,34.427111,0.030000,0.9081,1.6301,0.6126,1.1143,5,0,5,ok,-
throughput,n64_b1,64,1,1,baseline_sse42_1t,SSE4_2,0.000092,20.779221,0.000095,20.253165,0.000000,0.9839,0.9590,1.0000,1.0000,5,0,5,ok,-
throughput,n64_b1,64,1,10,avx512_phys,AVX512,0.000054,35.555556,0.000053,36.090226,0.000000,1.6835,1.7088,1.7111,1.7820,5,0,5,ok,-
throughput,n64_b1,64,1,20,avx512_logical,AVX512,0.000047,40.677966,0.000046,41.921397,0.000000,1.9260,1.9849,1.9576,2.0699,5,0,5,ok,-
throughput,n64_b4,64,4,1,baseline_sse42_1t,SSE4_2,0.000309,24.838292,0.000318,24.181360,0.000000,1.1761,1.1450,1.0000,1.0000,5,0,5,ok,-
throughput,n64_b4,64,4,10,avx512_phys,AVX512,0.000122,62.847791,0.000119,64.321608,0.000000,2.9757,3.0455,2.5303,2.6600,5,0,5,ok,-
throughput,n64_b4,64,4,20,avx512_logical,AVX512,0.000117,65.753425,0.000114,67.250438,0.000000,3.1133,3.1842,2.6473,2.7811,5,0,5,ok,-
throughput,n64_b16,64,16,1,baseline_sse42_1t,SSE4_2,0.001199,25.629902,0.001285,23.914059,0.020000,1.2135,1.1323,1.0000,1.0000,5,0,5,ok,-
throughput,n64_b16,64,16,10,avx512_phys,AVX512,0.001187,25.871652,0.001072,28.656716,0.020000,1.2250,1.3569,1.0094,1.1983,5,0,5,ok,-
throughput,n64_b16,64,16,20,avx512_logical,AVX512,0.000963,31.906938,0.000955,32.181018,0.020000,1.5107,1.5237,1.2449,1.3457,5,0,5,ok,-
throughput,n64_b64,64,64,1,baseline_sse42_1t,SSE4_2,0.005135,23.929893,0.005163,23.801960,0.060000,1.1330,1.1270,1.0000,1.0000,5,0,5,ok,-
throughput,n64_b64,64,64,10,avx512_phys,AVX512,0.002886,42.583865,0.001496,82.150020,0.060000,2.0163,3.8897,1.7795,3.4514,5,0,5,ok,-
throughput,n64_b64,64,64,20,avx512_logical,AVX512,0.003049,40.307026,0.001711,71.800865,0.060000,1.9085,3.3997,1.6844,3.0166,5,0,5,ok,-
throughput,n128_b1,128,1,1,baseline_sse42_1t,SSE4_2,0.000202,22.200198,0.000202,22.156281,0.000000,1.0511,1.0491,1.0000,1.0000,5,0,5,ok,-
throughput,n128_b1,128,1,10,avx512_phys,AVX512,0.000076,59.259259,0.000078,57.435897,0.000000,2.8058,2.7195,2.6693,2.5923,5,0,5,ok,-
throughput,n128_b1,128,1,20,avx512_logical,AVX512,0.000085,52.955083,0.000082,54.368932,0.000000,2.5073,2.5743,2.3853,2.4539,5,0,5,ok,-
throughput,n128_b4,128,4,1,baseline_sse42_1t,SSE4_2,0.000742,24.157455,0.000789,22.712294,0.010000,1.1438,1.0754,1.0000,1.0000,5,0,5,ok,-
throughput,n128_b4,128,4,10,avx512_phys,AVX512,0.000833,21.522940,0.000827,21.663443,0.010000,1.0191,1.0257,0.8909,0.9538,5,0,5,ok,-
throughput,n128_b4,128,4,20,avx512_logical,AVX512,0.000981,18.274526,0.000986,18.174442,0.010000,0.8653,0.8605,0.7565,0.8002,5,0,5,ok,-
throughput,n128_b16,128,16,1,baseline_sse42_1t,SSE4_2,0.002891,24.797620,0.002420,29.614940,0.030000,1.1741,1.4022,1.0000,1.0000,5,0,5,ok,-
throughput,n128_b16,128,16,10,avx512_phys,AVX512,0.001282,55.921361,0.001287,55.712731,0.030000,2.6478,2.6379,2.2551,1.8812,5,0,5,ok,-
throughput,n128_b16,128,16,20,avx512_logical,AVX512,0.001461,49.069003,0.001476,48.570267,0.030000,2.3233,2.2997,1.9788,1.6401,5,0,5,ok,-
throughput,n128_b64,128,64,1,baseline_sse42_1t,SSE4_2,0.009695,29.573397,0.009772,29.341575,0.120000,1.4003,1.3893,1.0000,1.0000,5,0,5,ok,-
throughput,n128_b64,128,64,10,avx512_phys,AVX512,0.002226,128.816605,0.001719,166.775244,0.120000,6.0993,7.8966,4.3558,5.6839,5,0,5,ok,-
throughput,n128_b64,128,64,20,avx512_logical,AVX512,0.003534,81.127271,0.001970,145.572705,0.120000,3.8413,6.8926,2.7433,4.9613,5,0,5,ok,-
throughput,n256_b1,256,1,1,baseline_sse42_1t,SSE4_2,0.000330,31.067961,0.000332,30.861965,0.000000,1.4710,1.4613,1.0000,1.0000,5,0,5,ok,-
throughput,n256_b1,256,1,10,avx512_phys,AVX512,0.000194,52.783505,0.000198,51.612903,0.000000,2.4992,2.4438,1.6990,1.6724,5,0,5,ok,-
throughput,n256_b1,256,1,20,avx512_logical,AVX512,0.000198,51.769464,0.000191,53.668763,0.000000,2.4512,2.5411,1.6663,1.7390,5,0,5,ok,-
throughput,n256_b4,256,4,1,baseline_sse42_1t,SSE4_2,0.001281,31.965038,0.001289,31.786435,0.020000,1.5135,1.5050,1.0000,1.0000,5,0,5,ok,-
throughput,n256_b4,256,4,10,avx512_phys,AVX512,0.001129,36.286322,0.001130,36.234961,0.020000,1.7181,1.7157,1.1352,1.1400,5,0,5,ok,-
throughput,n256_b4,256,4,20,avx512_logical,AVX512,0.001235,33.160622,0.001262,32.446134,0.020000,1.5701,1.5363,1.0374,1.0208,5,0,5,ok,-
throughput,n256_b16,256,16,1,baseline_sse42_1t,SSE4_2,0.005822,28.140565,0.005346,30.648359,0.060000,1.3324,1.4512,1.0000,1.0000,5,0,5,ok,-
throughput,n256_b16,256,16,10,avx512_phys,AVX512,0.001660,98.722584,0.001680,97.523810,0.060000,4.6744,4.6176,3.5082,3.1820,5,0,5,ok,-
throughput,n256_b16,256,16,20,avx512_logical,AVX512,0.001920,85.351115,0.001986,82.505791,0.060000,4.0412,3.9065,3.0330,2.6920,5,0,5,ok,-
throughput,n256_b64,256,64,1,baseline_sse42_1t,SSE4_2,0.020349,32.206322,0.021420,30.595134,0.250000,1.5249,1.4486,1.0000,1.0000,5,0,5,ok,-
throughput,n256_b64,256,64,10,avx512_phys,AVX512,0.003561,184.027856,0.002691,243.555820,0.250000,8.7134,11.5320,5.7140,7.9606,5,0,5,ok,-
throughput,n256_b64,256,64,20,avx512_logical,AVX512,0.003766,174.029423,0.002713,241.545039,0.250000,8.2400,11.4368,5.4036,7.8949,5,0,5,ok,-
throughput,n512_b1,512,1,1,baseline_sse42_1t,SSE4_2,0.000857,26.897035,0.000857,26.897035,0.010000,1.2735,1.2735,1.0000,1.0000,5,0,5,ok,-
throughput,n512_b1,512,1,10,avx512_phys,AVX512,0.000330,69.902913,0.000524,44.003056,0.010000,3.3098,2.0835,2.5989,1.6360,5,0,5,ok,-
throughput,n512_b1,512,1,20,avx512_logical,AVX512,0.000354,65.011287,0.000356,64.682762,0.010000,3.0782,3.0626,2.4170,2.4048,5,0,5,ok,-
throughput,n512_b4,512,4,1,baseline_sse42_1t,SSE4_2,0.002883,31.966701,0.002881,31.991114,0.030000,1.5136,1.5147,1.0000,1.0000,5,0,5,ok,-
throughput,n512_b4,512,4,10,avx512_phys,AVX512,0.001360,67.774673,0.001361,67.734823,0.030000,3.2090,3.2071,2.1202,2.1173,5,0,5,ok,-
throughput,n512_b4,512,4,20,avx512_logical,AVX512,0.001451,63.514817,0.001506,61.187093,0.030000,3.0073,2.8971,1.9869,1.9126,5,0,5,ok,-
throughput,n512_b16,512,16,1,baseline_sse42_1t,SSE4_2,0.011627,31.704422,0.011521,31.996112,0.120000,1.5012,1.5150,1.0000,1.0000,5,0,5,ok,-
throughput,n512_b16,512,16,10,avx512_phys,AVX512,0.002488,148.167203,0.002067,178.379948,0.120000,7.0155,8.4460,4.6734,5.5751,5,0,5,ok,-
throughput,n512_b16,512,16,20,avx512_logical,AVX512,0.002633,140.018232,0.002472,149.150348,0.120000,6.6297,7.0620,4.4164,4.6615,5,0,5,ok,-
throughput,n512_b64,512,64,1,baseline_sse42_1t,SSE4_2,0.046108,31.980429,0.044746,32.954302,0.500000,1.5142,1.5603,1.0000,1.0000,5,0,5,ok,-
throughput,n512_b64,512,64,10,avx512_phys,AVX512,0.004816,306.166687,0.004304,342.570393,0.500000,14.4965,16.2202,9.5736,10.3953,5,0,5,ok,-
throughput,n512_b64,512,64,20,avx512_logical,AVX512,0.004402,334.944576,0.003802,387.817579,0.500000,15.8591,18.3626,10.4734,11.7683,5,0,5,ok,-
throughput,n1024_b1,1024,1,1,baseline_sse42_1t,SSE4_2,0.001477,34.674252,0.001474,34.735414,0.020000,1.6418,1.6447,1.0000,1.0000,5,0,5,ok,-
throughput,n1024_b1,1024,1,10,avx512_phys,AVX512,0.000807,63.429138,0.000779,65.691558,0.020000,3.0033,3.1104,1.8293,1.8912,5,0,5,ok,-
throughput,n1024_b1,1024,1,20,avx512_logical,AVX512,0.000751,68.157614,0.000748,68.412614,0.020000,3.2272,3.2392,1.9657,1.9695,5,0,5,ok,-
throughput,n1024_b4,1024,4,1,baseline_sse42_1t,SSE4_2,0.006051,33.847883,0.006086,33.651002,0.060000,1.6026,1.5933,1.0000,1.0000,5,0,5,ok,-
throughput,n1024_b4,1024,4,10,avx512_phys,AVX512,0.002217,92.368753,0.002184,93.764307,0.060000,4.3735,4.4396,2.7289,2.7864,5,0,5,ok,-
throughput,n1024_b4,1024,4,20,avx512_logical,AVX512,0.002155,95.025984,0.002351,87.111867,0.060000,4.4993,4.1246,2.8074,2.5887,5,0,5,ok,-
throughput,n1024_b16,1024,16,1,baseline_sse42_1t,SSE4_2,0.024746,33.103805,0.025696,31.880696,0.250000,1.5674,1.5095,1.0000,1.0000,5,0,5,ok,-
throughput,n1024_b16,1024,16,10,avx512_phys,AVX512,0.004146,197.607102,0.003240,252.839506,0.250000,9.3564,11.9716,5.9693,7.9308,5,0,5,ok,-
throughput,n1024_b16,1024,16,20,avx512_logical,AVX512,0.003934,208.246479,0.003340,245.298838,0.250000,9.8602,11.6145,6.2907,7.6943,5,0,5,ok,-
throughput,n1024_b64,1024,64,1,baseline_sse42_1t,SSE4_2,0.109977,29.795321,0.110867,29.556241,1.000000,1.4108,1.3994,1.0000,1.0000,5,0,5,ok,-
throughput,n1024_b64,1024,64,10,avx512_phys,AVX512,0.007699,425.602660,0.007767,421.876609,1.000000,20.1516,19.9752,14.2842,14.2737,5,0,5,ok,-
throughput,n1024_b64,1024,64,20,avx512_logical,AVX512,0.006484,505.367057,0.006611,495.643756,1.000000,23.9284,23.4680,16.9613,16.7695,5,0,5,ok,-
throughput,n2048_b1,2048,1,1,baseline_sse42_1t,SSE4_2,0.003387,33.258533,0.003492,32.260282,0.030000,1.5747,1.5275,1.0000,1.0000,5,0,5,ok,-
throughput,n2048_b1,2048,1,10,avx512_phys,AVX512,0.001873,60.132394,0.001895,59.428089,0.030000,2.8472,2.8138,1.8080,1.8421,5,0,5,ok,-
throughput,n2048_b1,2048,1,20,avx512_logical,AVX512,0.001921,58.630023,0.001873,60.151661,0.030000,2.7760,2.8481,1.7629,1.8646,5,0,5,ok,-
throughput,n2048_b4,2048,4,1,baseline_sse42_1t,SSE4_2,0.013607,33.111882,0.013469,33.451133,0.120000,1.5678,1.5839,1.0000,1.0000,5,0,5,ok,-
throughput,n2048_b4,2048,4,10,avx512_phys,AVX512,0.004237,106.329353,0.003409,132.167791,0.120000,5.0345,6.2579,3.2112,3.9511,5,0,5,ok,-
throughput,n2048_b4,2048,4,20,avx512_logical,AVX512,0.003796,118.693361,0.003529,127.666327,0.120000,5.6200,6.0448,3.5846,3.8165,5,0,5,ok,-
throughput,n2048_b16,2048,16,1,baseline_sse42_1t,SSE4_2,0.056214,32.060227,0.056197,32.069811,0.500000,1.5180,1.5185,1.0000,1.0000,5,0,5,ok,-
throughput,n2048_b16,2048,16,10,avx512_phys,AVX512,0.006152,292.932839,0.006246,288.561547,0.500000,13.8699,13.6630,9.1370,8.9979,5,0,5,ok,-
throughput,n2048_b16,2048,16,20,avx512_logical,AVX512,0.005181,347.842199,0.004957,363.589413,0.500000,16.4698,17.2154,10.8496,11.3374,5,0,5,ok,-
throughput,n2048_b64,2048,64,1,baseline_sse42_1t,SSE4_2,0.265366,27.166144,0.267932,26.905972,2.000000,1.2863,1.2740,1.0000,1.0000,5,0,5,ok,-
throughput,n2048_b64,2048,64,10,avx512_phys,AVX512,0.016203,444.926123,0.016268,443.142896,2.000000,21.0666,20.9821,16.3780,16.4701,5,0,5,ok,-
throughput,n2048_b64,2048,64,20,avx512_logical,AVX512,0.012411,580.843109,0.012026,599.467802,2.000000,27.5020,28.3839,21.3811,22.2801,5,0,5,ok,-
throughput,n4096_b1,4096,1,1,baseline_sse42_1t,SSE4_2,0.008289,29.650363,0.007929,30.994300,0.060000,1.4039,1.4675,1.0000,1.0000,5,0,5,ok,-
throughput,n4096_b1,4096,1,10,avx512_phys,AVX512,0.004164,59.014504,0.004406,55.773420,0.060000,2.7942,2.6408,1.9903,1.7995,5,0,5,ok,-
throughput,n4096_b1,4096,1,20,avx512_logical,AVX512,0.004339,56.637168,0.005011,49.042146,0.060000,2.6817,2.3221,1.9102,1.5823,5,0,5,ok,-
throughput,n4096_b4,4096,4,1,baseline_sse42_1t,SSE4_2,0.031583,31.125408,0.031269,31.438367,0.250000,1.4737,1.4886,1.0000,1.0000,5,0,5,ok,-
throughput,n4096_b4,4096,4,10,avx512_phys,AVX512,0.006065,162.073400,0.006206,158.396442,0.250000,7.6739,7.4998,5.2071,5.0383,5,0,5,ok,-
throughput,n4096_b4,4096,4,20,avx512_logical,AVX512,0.005847,168.115744,0.005966,164.773718,0.250000,7.9600,7.8018,5.4012,5.2412,5,0,5,ok,-
throughput,n4096_b16,4096,16,1,baseline_sse42_1t,SSE4_2,0.137162,28.667957,0.137498,28.597985,1.000000,1.3574,1.3541,1.0000,1.0000,5,0,5,ok,-
throughput,n4096_b16,4096,16,10,avx512_phys,AVX512,0.010577,371.758121,0.011185,351.550263,1.000000,17.6022,16.6454,12.9677,12.2928,5,0,5,ok,-
throughput,n4096_b16,4096,16,20,avx512_logical,AVX512,0.009249,425.144340,0.008604,457.036589,1.000000,20.1299,21.6400,14.8299,15.9814,5,0,5,ok,-
