Function                                      CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Spin Time:Imbalance or Serial Spinning  CPU Time:Spin Time:Lock Contention  CPU Time:Spin Time:Other  CPU Time:Overhead Time  CPU Time:Overhead Time:Creation  CPU Time:Overhead Time:Scheduling  CPU Time:Overhead Time:Reduction  CPU Time:Overhead Time:Atomics  CPU Time:Overhead Time:Other  Module                    Function (Full)                                          Source File      Start Address
--------------------------------------------  --------  -----------------------  ------------------  -----------------------------------------------  ----------------------------------  ------------------------  ----------------------  -------------------------------  ---------------------------------  --------------------------------  ------------------------------  ----------------------------  ------------------------  -------------------------------------------------------  ---------------  -------------
memset                                          0.130s                   0.130s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so           memset                                                   [Unknown]        0x6a3b0      
dlopen                                          0.100s                   0.100s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libdl.so.2                dlopen                                                   [Unknown]        0xfe0        
memcmp                                          0.090s                   0.090s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so           memcmp                                                   [Unknown]        0x69ce0      
__kmp_fork_barrier                              0.070s                       0s              0.070s                                           0.070s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libiomp5.so               __kmp_fork_barrier(int, int)                             kmp_barrier.cpp  0x82a40      
[ld-linux-x86-64.so.2]                          0.040s                   0.040s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  ld-linux-x86-64.so.2      [ld-linux-x86-64.so.2]                                   [Unknown]        0            
memmove                                         0.030s                   0.030s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so           memmove                                                  [Unknown]        0x69e90      
[MKL SERVICE]@domain_get_max_threads            0.020s                       0s                  0s                                               0s                                  0s                        0s                  0.020s                               0s                                 0s                                0s                              0s                        0.020s  libmkl_intel_thread.so.2  mkl_serv_domain_get_max_threads                          [Unknown]        0x29ce00     
MKL_GET_MAX_THREADS                             0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libmkl_rt.so.2            MKL_GET_MAX_THREADS                                      [Unknown]        0x34e5d0     
rand                                            0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc.so.6                 rand                                                     [Unknown]        0x51e90      
dwarf_tag                                       0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libdwarf.so               dwarf_tag                                                [Unknown]        0x45470      
[MKL FFT]@avx512_mg_colbatch_twidl_bwd_16_s     0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libmkl_avx512.so.2        mkl_dft_avx512_mg_colbatch_twidl_bwd_16_s                [Unknown]        0x21a1240    
[MKL FFT]@avx512_mg_rowbatch_twidl_bwd_032_s    0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libmkl_avx512.so.2        mkl_dft_avx512_mg_rowbatch_twidl_bwd_032_s               [Unknown]        0x2145280    
__kmp_fork_call                                 0.010s                       0s                  0s                                               0s                                  0s                        0s                  0.010s                               0s                                 0s                                0s                              0s                        0.010s  libiomp5.so               __kmp_fork_call                                          kmp_runtime.cpp  0xc8080      
TraverseDwarfRecursive                          0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libpindwarf.so            TraverseDwarfRecursive(Dwarf_Die_s*&, DWARFData&, int&)  [Unknown]        0x61f0       
