Function                              Module                Function (Full)                       Source File      Start Address
------------------------------------  --------------------  ------------------------------------  ---------------  -------------
OS_BARESYSCALL_DoCallAsmIntel64Linux  libc-dynamic.so       OS_BARESYSCALL_DoCallAsmIntel64Linux  [Unknown]        0x80954      
[ld-linux-x86-64.so.2]                ld-linux-x86-64.so.2  [ld-linux-x86-64.so.2]                [Unknown]        0            
__kmp_fork_barrier                    libiomp5.so           __kmp_fork_barrier(int, int)          kmp_barrier.cpp  0x82a40      
__kmp_fork_call                       libiomp5.so           __kmp_fork_call                       kmp_runtime.cpp  0xc8080      
_dwarf_next_die_info_ptr.constprop.0  libdwarf.so           _dwarf_next_die_info_ptr.constprop.0  [Unknown]        0xfe80       
_dwarf_tdelete                        libdwarf.so           _dwarf_tdelete                        [Unknown]        0x4e070      
dlopen                                libdl.so.2            dlopen                                [Unknown]        0xfe0        
dwarf_dealloc                         libdwarf.so           dwarf_dealloc                         [Unknown]        0xbeb0       
memcmp                                libc-dynamic.so       memcmp                                [Unknown]        0x69ce0      
memcpy                                libc-dynamic.so       memcpy                                [Unknown]        0x69d90      
memmove                               libc-dynamic.so       memmove                               [Unknown]        0x69e90      
memset                                libc-dynamic.so       memset                                [Unknown]        0x6a3b0      
rand                                  libc.so.6             rand                                  [Unknown]        0x51e90      
