Function                                     CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Spin Time:Imbalance or Serial Spinning  CPU Time:Spin Time:Lock Contention  CPU Time:Spin Time:Other  CPU Time:Overhead Time  CPU Time:Overhead Time:Creation  CPU Time:Overhead Time:Scheduling  CPU Time:Overhead Time:Reduction  CPU Time:Overhead Time:Atomics  CPU Time:Overhead Time:Other  Module                Function (Full)                            Source File      Start Address
-------------------------------------------  --------  -----------------------  ------------------  -----------------------------------------------  ----------------------------------  ------------------------  ----------------------  -------------------------------  ---------------------------------  --------------------------------  ------------------------------  ----------------------------  --------------------  -----------------------------------------  ---------------  -------------
__kmp_fork_barrier                             0.120s                       0s              0.120s                                           0.120s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libiomp5.so           __kmp_fork_barrier(int, int)               kmp_barrier.cpp  0x82a40      
memset                                         0.110s                   0.110s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so       memset                                     [Unknown]        0x6a3b0      
dlopen                                         0.080s                   0.080s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libdl.so.2            dlopen                                     [Unknown]        0xfe0        
memmove                                        0.040s                   0.040s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so       memmove                                    [Unknown]        0x69e90      
memcmp                                         0.040s                   0.040s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so       memcmp                                     [Unknown]        0x69ce0      
OS_BARESYSCALL_DoCallAsmIntel64Linux           0.030s                   0.030s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so       OS_BARESYSCALL_DoCallAsmIntel64Linux       [Unknown]        0x80954      
[MKL FFT]@avx512_mg_colbatch_twidl_bwd_16_s    0.030s                   0.030s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libmkl_avx512.so.2    mkl_dft_avx512_mg_colbatch_twidl_bwd_16_s  [Unknown]        0x21a1240    
[ld-linux-x86-64.so.2]                         0.030s                   0.030s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  ld-linux-x86-64.so.2  [ld-linux-x86-64.so.2]                     [Unknown]        0            
_dwarf_get_alloc                               0.020s                   0.020s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libdwarf.so           _dwarf_get_alloc                           [Unknown]        0xbda0       
__kmp_fork_call                                0.020s                       0s                  0s                                               0s                                  0s                        0s                  0.020s                               0s                                 0s                                0s                              0s                        0.020s  libiomp5.so           __kmp_fork_call                            kmp_runtime.cpp  0xc8080      
mm_init                                        0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libmkl_core.so.2      mm_init                                    [Unknown]        0x212560     
_dwarf_get_abbrev_for_code                     0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libdwarf.so           _dwarf_get_abbrev_for_code                 [Unknown]        0x4f230      
strcmp                                         0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so       strcmp                                     [Unknown]        0x3e510      
