Function                                            CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Spin Time:Imbalance or Serial Spinning  CPU Time:Spin Time:Lock Contention  CPU Time:Spin Time:Other  CPU Time:Overhead Time  CPU Time:Overhead Time:Creation  CPU Time:Overhead Time:Scheduling  CPU Time:Overhead Time:Reduction  CPU Time:Overhead Time:Atomics  CPU Time:Overhead Time:Other  Module                    Function (Full)                                     Source File      Start Address
--------------------------------------------------  --------  -----------------------  ------------------  -----------------------------------------------  ----------------------------------  ------------------------  ----------------------  -------------------------------  ---------------------------------  --------------------------------  ------------------------------  ----------------------------  ------------------------  --------------------------------------------------  ---------------  -------------
__kmp_fork_barrier                                    0.240s                       0s              0.240s                                           0.220s                                  0s                    0.020s                      0s                               0s                                 0s                                0s                              0s                            0s  libiomp5.so               __kmp_fork_barrier(int, int)                        kmp_barrier.cpp  0x82a40      
memset                                                0.160s                   0.160s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so           memset                                              [Unknown]        0x6a3b0      
dlopen                                                0.100s                   0.100s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libdl.so.2                dlopen                                              [Unknown]        0xfe0        
memmove                                               0.050s                   0.050s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so           memmove                                             [Unknown]        0x69e90      
[ld-linux-x86-64.so.2]                                0.050s                   0.050s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  ld-linux-x86-64.so.2      [ld-linux-x86-64.so.2]                              [Unknown]        0            
memcmp                                                0.040s                   0.040s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so           memcmp                                              [Unknown]        0x69ce0      
_dwarf_extract_local_debug_str_string_given_offset    0.020s                   0.020s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libdwarf.so               _dwarf_extract_local_debug_str_string_given_offset  [Unknown]        0x1e890      
__kmp_join_call                                       0.019s                       0s              0.019s                                           0.019s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libiomp5.so               __kmp_join_call                                     kmp_runtime.cpp  0xcb080      
pthread_setname_np                                    0.011s                       0s                  0s                                               0s                                  0s                        0s                  0.011s                           0.011s                                 0s                                0s                              0s                            0s  libpthread.so.0           pthread_setname_np                                  [Unknown]        0x13e20      
__kmp_join_barrier                                    0.010s                       0s              0.010s                                           0.010s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libiomp5.so               __kmp_join_barrier(int)                             kmp_barrier.cpp  0x80440      
[MKL SERVICE]@domain_get_max_threads                  0.010s                       0s                  0s                                               0s                                  0s                        0s                  0.010s                               0s                                 0s                                0s                              0s                        0.010s  libmkl_intel_thread.so.2  mkl_serv_domain_get_max_threads                     [Unknown]        0x29ce00     
_dwarf_skip_leb128                                    0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libdwarf.so               _dwarf_skip_leb128                                  [Unknown]        0x2e1c0      
