workload,case,length,batch,threads,profile,isa,avg_fwd_ms,avg_fwd_sp_gflops,avg_mem_mb,fwd_pct_of_peak,fwd_speedup_vs_sse42_1t,samples_ok,samples_skip,samples_expected,check_ok,check_fail,quality,note
throughput,n2_b1,2,1,1,baseline_sse42_1t,SSE4_2,0.000020,0.500000,0.010000,0.0237,1.0000,3,0,3,3,0,ok,-
throughput,n2_b1,2,1,10,avx512_phys,AVX512,0.000020,0.500000,0.010000,0.0237,1.0000,3,0,3,3,0,ok,-
throughput,n2_b1,2,1,20,avx512_logical,AVX512,0.000020,0.500000,0.010000,0.0237,1.0000,3,0,3,3,0,ok,-
throughput,n2_b10,2,10,1,baseline_sse42_1t,SSE4_2,0.000056,1.785714,0.080000,0.0846,1.0000,3,0,3,3,0,ok,-
throughput,n2_b10,2,10,10,avx512_phys,AVX512,0.000056,1.785714,0.080000,0.0846,1.0000,3,0,3,3,0,ok,-
throughput,n2_b10,2,10,20,avx512_logical,AVX512,0.000056,1.775148,0.080000,0.0841,0.9941,3,0,3,3,0,ok,-
throughput,n2_b16,2,16,1,baseline_sse42_1t,SSE4_2,0.000089,1.804511,0.130000,0.0854,1.0000,3,0,3,3,0,ok,-
throughput,n2_b16,2,16,10,avx512_phys,AVX512,0.000093,1.714286,0.130000,0.0812,0.9500,3,0,3,3,0,ok,-
throughput,n2_b16,2,16,20,avx512_logical,AVX512,0.000093,1.726619,0.130000,0.0818,0.9568,3,0,3,3,0,ok,-
throughput,n2_b150,2,150,1,baseline_sse42_1t,SSE4_2,0.000603,2.486188,1.170000,0.1177,1.0000,3,0,3,3,0,ok,-
throughput,n2_b150,2,150,10,avx512_phys,AVX512,0.000590,2.543810,1.170000,0.1204,1.0232,3,0,3,3,0,ok,-
throughput,n2_b150,2,150,20,avx512_logical,AVX512,0.000616,2.435065,1.170000,0.1153,0.9794,3,0,3,3,0,ok,-
throughput,n2_b256,2,256,1,baseline_sse42_1t,SSE4_2,0.001007,2.543046,2.000000,0.1204,1.0000,3,0,3,3,0,ok,-
throughput,n2_b256,2,256,10,avx512_phys,AVX512,0.000990,2.584988,2.000000,0.1224,1.0165,3,0,3,3,0,ok,-
