workload,case,length,batch,threads,profile,isa,avg_fwd_ms,avg_fwd_sp_gflops,avg_mem_mb,fwd_pct_of_peak,fwd_speedup_vs_sse42_1t,samples_ok,samples_skip,samples_expected,check_ok,check_fail,quality,note
throughput,n2_b1,2,1,1,baseline_sse42_1t,SSE4_2,0.000021,0.471698,1.000000,0.0223,1.0000,5,0,5,5,0,ok,-
throughput,n2_b1,2,1,10,avx512_phys,AVX512,0.000020,0.490196,1.000000,0.0232,1.0392,5,0,5,5,0,ok,-
throughput,n2_b1,2,1,20,avx512_logical,AVX512,0.000022,0.462963,1.000000,0.0219,0.9815,5,0,5,5,0,ok,-
throughput,n4_b1,4,1,1,baseline_sse42_1t,SSE4_2,0.000022,1.818182,2.000000,0.0861,1.0000,5,0,5,5,0,ok,-
throughput,n4_b1,4,1,10,avx512_phys,AVX512,0.000024,1.680672,2.000000,0.0796,0.9244,5,0,5,5,0,ok,-
throughput,n4_b1,4,1,20,avx512_logical,AVX512,0.000025,1.587302,2.000000,0.0752,0.8730,5,0,5,5,0,ok,-
throughput,n8_b1,8,1,1,baseline_sse42_1t,SSE4_2,0.000026,4.687500,4.000000,0.2219,1.0000,5,0,5,5,0,ok,-
throughput,n8_b1,8,1,10,avx512_phys,AVX512,0.000023,5.263158,4.000000,0.2492,1.1228,5,0,5,5,0,ok,-
throughput,n8_b1,8,1,20,avx512_logical,AVX512,0.000022,5.504587,4.000000,0.2606,1.1743,5,0,5,5,0,ok,-
throughput,n16_b1,16,1,1,baseline_sse42_1t,SSE4_2,0.000027,11.764706,8.000000,0.5570,1.0000,5,0,5,5,0,ok,-
throughput,n16_b1,16,1,10,avx512_phys,AVX512,0.000023,14.159292,8.000000,0.6704,1.2035,5,0,5,5,0,ok,-
throughput,n16_b1,16,1,20,avx512_logical,AVX512,0.000023,13.793103,8.000000,0.6531,1.1724,5,0,5,5,0,ok,-
throughput,n32_b1,32,1,1,baseline_sse42_1t,SSE4_2,0.000045,17.621145,16.000000,0.8343,1.0000,5,0,5,5,0,ok,-
throughput,n32_b1,32,1,10,avx512_phys,AVX512,0.000043,18.604651,16.000000,0.8809,1.0558,5,0,5,5,0,ok,-
throughput,n32_b1,32,1,20,avx512_logical,AVX512,0.000041,19.417476,16.000000,0.9194,1.1019,5,0,5,5,0,ok,-
throughput,n64_b1,64,1,1,baseline_sse42_1t,SSE4_2,0.000112,17.112299,32.000000,0.8102,1.0000,5,0,5,5,0,ok,-
throughput,n64_b1,64,1,10,avx512_phys,AVX512,0.000071,26.890756,32.000000,1.2732,1.5714,5,0,5,5,0,ok,-
throughput,n64_b1,64,1,20,avx512_logical,AVX512,0.000076,25.396825,32.000000,1.2025,1.4841,5,0,5,5,0,ok,-
throughput,n128_b1,128,1,1,baseline_sse42_1t,SSE4_2,0.000230,19.444444,64.000000,0.9207,1.0000,5,0,5,5,0,ok,-
throughput,n128_b1,128,1,10,avx512_phys,AVX512,0.000166,27.020507,64.000000,1.2794,1.3896,5,0,5,5,0,ok,-
throughput,n128_b1,128,1,20,avx512_logical,AVX512,0.000166,27.053140,64.000000,1.2809,1.3913,5,0,5,5,0,ok,-
throughput,n256_b1,256,1,1,baseline_sse42_1t,SSE4_2,0.000572,17.895841,128.000000,0.8473,1.0000,5,0,5,5,0,ok,-
throughput,n256_b1,256,1,10,avx512_phys,AVX512,0.000449,22.806236,128.000000,1.0798,1.2744,5,0,5,5,0,ok,-
throughput,n256_b1,256,1,20,avx512_logical,AVX512,0.000456,22.456140,128.000000,1.0633,1.2548,5,0,5,5,0,ok,-
throughput,n512_b1,512,1,1,baseline_sse42_1t,SSE4_2,0.001199,19.212809,256.000000,0.9097,1.0000,5,0,5,5,0,ok,-
throughput,n512_b1,512,1,10,avx512_phys,AVX512,0.000988,23.324560,256.000000,1.1044,1.2140,5,0,5,5,0,ok,-
throughput,n512_b1,512,1,20,avx512_logical,AVX512,0.000988,23.315118,256.000000,1.1039,1.2135,5,0,5,5,0,ok,-
throughput,n1024_b1,1024,1,1,baseline_sse42_1t,SSE4_2,0.002917,17.553483,512.010000,0.8311,1.0000,5,0,5,5,0,ok,-
throughput,n1024_b1,1024,1,10,avx512_phys,AVX512,0.001832,27.953702,512.010000,1.3236,1.5925,5,0,5,5,0,ok,-
throughput,n1024_b1,1024,1,20,avx512_logical,AVX512,0.001846,27.729636,512.010000,1.3130,1.5797,5,0,5,5,0,ok,-
throughput,n2048_b1,2048,1,1,baseline_sse42_1t,SSE4_2,0.006012,18.735238,1024.020000,0.8871,1.0000,5,0,5,5,0,ok,-
throughput,n2048_b1,2048,1,10,avx512_phys,AVX512,0.003905,28.846548,1024.020000,1.3658,1.5397,5,0,5,5,0,ok,-
throughput,n2048_b1,2048,1,20,avx512_logical,AVX512,0.003945,28.549703,1024.020000,1.3518,1.5239,5,0,5,5,0,ok,-
throughput,n4096_b1,4096,1,1,baseline_sse42_1t,SSE4_2,0.012922,19.018433,1024.030000,0.9005,1.0000,5,0,5,5,0,ok,-
throughput,n4096_b1,4096,1,10,avx512_phys,AVX512,0.007153,34.355691,1024.030000,1.6267,1.8064,5,0,5,5,0,ok,-
throughput,n4096_b1,4096,1,20,avx512_logical,AVX512,0.007114,34.546937,1024.030000,1.6357,1.8165,5,0,5,5,0,ok,-
throughput,n8192_b1,8192,1,1,baseline_sse42_1t,SSE4_2,0.027426,19.415295,1024.060000,0.9193,1.0000,5,0,5,5,0,ok,-
throughput,n8192_b1,8192,1,10,avx512_phys,AVX512,0.011952,44.552285,1024.060000,2.1095,2.2947,5,0,5,5,0,ok,-
throughput,n8192_b1,8192,1,20,avx512_logical,AVX512,0.017936,29.687448,1024.060000,1.4057,1.5291,5,0,5,5,0,ok,-
throughput,n16384_b1,16384,1,1,baseline_sse42_1t,SSE4_2,0.069903,16.406829,1024.120000,0.7768,1.0000,5,0,5,5,0,ok,-
throughput,n16384_b1,16384,1,10,avx512_phys,AVX512,0.018465,62.110348,1024.120000,2.9408,3.7856,5,0,5,5,0,ok,-
throughput,n16384_b1,16384,1,20,avx512_logical,AVX512,0.018817,60.949142,1024.120000,2.8858,3.7149,5,0,5,5,0,ok,-
throughput,n32768_b1,32768,1,1,baseline_sse42_1t,SSE4_2,0.161822,15.187057,1024.250000,0.7191,1.0000,5,0,5,5,0,ok,-
throughput,n32768_b1,32768,1,10,avx512_phys,AVX512,0.031168,78.850609,1024.250000,3.7335,5.1920,5,0,5,5,0,ok,-
throughput,n32768_b1,32768,1,20,avx512_logical,AVX512,0.105500,23.294787,1024.250000,1.1030,1.5339,5,0,5,5,0,ok,-
throughput,n65536_b1,65536,1,1,baseline_sse42_1t,SSE4_2,0.368163,14.240633,1024.500000,0.6743,1.0000,5,0,5,5,0,ok,-
throughput,n65536_b1,65536,1,10,avx512_phys,AVX512,0.061064,85.858209,1024.500000,4.0653,6.0291,5,0,5,5,0,ok,-
throughput,n65536_b1,65536,1,20,avx512_logical,AVX512,0.254026,20.639147,1024.500000,0.9772,1.4493,5,0,5,5,0,ok,-
