workload,case,length,batch,threads,profile,isa,avg_fwd_ms,avg_fwd_sp_gflops,avg_mem_mb,fwd_pct_of_peak,fwd_speedup_vs_sse42_1t,samples_ok,samples_skip,samples_expected,check_ok,check_fail,quality,note
throughput,n2_b1,2,1,1,baseline_sse42_1t,SSE4_2,0.000021,0.476190,1.000000,0.0225,1.0000,3,0,3,3,0,ok,-
throughput,n2_b1,2,1,10,avx512_phys,AVX512,0.000021,0.483871,1.000000,0.0229,1.0161,3,0,3,3,0,ok,-
throughput,n2_b1,2,1,20,avx512_logical,AVX512,0.000022,0.454545,1.000000,0.0215,0.9545,3,0,3,3,0,ok,-
throughput,n4_b1,4,1,1,baseline_sse42_1t,SSE4_2,0.000022,1.818182,2.000000,0.0861,1.0000,3,0,3,3,0,ok,-
throughput,n4_b1,4,1,10,avx512_phys,AVX512,0.000025,1.621622,2.000000,0.0768,0.8919,3,0,3,3,0,ok,-
throughput,n4_b1,4,1,20,avx512_logical,AVX512,0.000026,1.518987,2.000000,0.0719,0.8354,3,0,3,3,0,ok,-
throughput,n8_b1,8,1,1,baseline_sse42_1t,SSE4_2,0.000024,5.070423,4.000000,0.2401,1.0000,3,0,3,3,0,ok,-
throughput,n8_b1,8,1,10,avx512_phys,AVX512,0.000022,5.538462,4.000000,0.2622,1.0923,3,0,3,3,0,ok,-
throughput,n8_b1,8,1,20,avx512_logical,AVX512,0.000024,4.931507,4.000000,0.2335,0.9726,3,0,3,3,0,ok,-
throughput,n16_b1,16,1,1,baseline_sse42_1t,SSE4_2,0.000028,11.566265,8.000000,0.5476,1.0000,3,0,3,3,0,ok,-
throughput,n16_b1,16,1,10,avx512_phys,AVX512,0.000024,13.333333,8.000000,0.6313,1.1528,3,0,3,3,0,ok,-
throughput,n16_b1,16,1,20,avx512_logical,AVX512,0.000024,13.333333,8.000000,0.6313,1.1528,3,0,3,3,0,ok,-
throughput,n32_b1,32,1,1,baseline_sse42_1t,SSE4_2,0.000048,16.666667,16.000000,0.7891,1.0000,3,0,3,3,0,ok,-
throughput,n32_b1,32,1,10,avx512_phys,AVX512,0.000048,16.551724,16.000000,0.7837,0.9931,3,0,3,3,0,ok,-
throughput,n32_b1,32,1,20,avx512_logical,AVX512,0.000045,17.647059,16.000000,0.8356,1.0588,3,0,3,3,0,ok,-
throughput,n64_b1,64,1,1,baseline_sse42_1t,SSE4_2,0.000118,16.317280,32.000000,0.7726,1.0000,3,0,3,3,0,ok,-
throughput,n64_b1,64,1,10,avx512_phys,AVX512,0.000078,24.615385,32.000000,1.1655,1.5085,3,0,3,3,0,ok,-
throughput,n64_b1,64,1,20,avx512_logical,AVX512,0.000077,24.935065,32.000000,1.1806,1.5281,3,0,3,3,0,ok,-
throughput,n128_b1,128,1,1,baseline_sse42_1t,SSE4_2,0.000243,18.410959,64.000000,0.8717,1.0000,3,0,3,3,0,ok,-
throughput,n128_b1,128,1,10,avx512_phys,AVX512,0.000175,25.648855,64.000000,1.2144,1.3931,3,0,3,3,0,ok,-
throughput,n128_b1,128,1,20,avx512_logical,AVX512,0.000171,26.250000,64.000000,1.2429,1.4258,3,0,3,3,0,ok,-
throughput,n256_b1,256,1,1,baseline_sse42_1t,SSE4_2,0.000578,17.706052,128.000000,0.8384,1.0000,3,0,3,3,0,ok,-
throughput,n256_b1,256,1,10,avx512_phys,AVX512,0.000477,21.452514,128.000000,1.0157,1.2116,3,0,3,3,0,ok,-
throughput,n256_b1,256,1,20,avx512_logical,AVX512,0.000469,21.849218,128.000000,1.0345,1.2340,3,0,3,3,0,ok,-
throughput,n512_b1,512,1,1,baseline_sse42_1t,SSE4_2,0.001190,19.355923,256.000000,0.9165,1.0000,3,0,3,3,0,ok,-
throughput,n512_b1,512,1,10,avx512_phys,AVX512,0.001007,22.879841,256.000000,1.0833,1.1821,3,0,3,3,0,ok,-
throughput,n512_b1,512,1,20,avx512_logical,AVX512,0.000989,23.296259,256.000000,1.1030,1.2036,3,0,3,3,0,ok,-
throughput,n1024_b1,1024,1,1,baseline_sse42_1t,SSE4_2,0.002917,17.552280,512.010000,0.8311,1.0000,3,0,3,3,0,ok,-
throughput,n1024_b1,1024,1,10,avx512_phys,AVX512,0.001868,27.413885,512.010000,1.2980,1.5618,3,0,3,3,0,ok,-
throughput,n1024_b1,1024,1,20,avx512_logical,AVX512,0.001892,27.056544,512.010000,1.2811,1.5415,3,0,3,3,0,ok,-
throughput,n2048_b1,2048,1,1,baseline_sse42_1t,SSE4_2,0.006008,18.747295,1024.020000,0.8877,1.0000,3,0,3,3,0,ok,-
throughput,n2048_b1,2048,1,10,avx512_phys,AVX512,0.004004,28.131868,1024.020000,1.3320,1.5006,3,0,3,3,0,ok,-
throughput,n2048_b1,2048,1,20,avx512_logical,AVX512,0.003988,28.247095,1024.020000,1.3375,1.5067,3,0,3,3,0,ok,-
throughput,n4096_b1,4096,1,1,baseline_sse42_1t,SSE4_2,0.013256,18.539995,1024.030000,0.8778,1.0000,3,0,3,3,0,ok,-
throughput,n4096_b1,4096,1,10,avx512_phys,AVX512,0.007279,33.762880,1024.030000,1.5986,1.8211,3,0,3,3,0,ok,-
