workload,case,length,batch,threads,profile,isa,avg_fwd_ms,avg_fwd_sp_gflops,avg_mem_mb,fwd_pct_of_peak,fwd_speedup_vs_sse42_1t,samples_ok,samples_skip,samples_expected,check_ok,check_fail,quality,note
throughput,n2_b1,2,1,1,baseline_sse42_1t,SSE4_2,0.000020,0.500000,0.010000,0.0237,1.0000,1,0,1,1,0,ok,-
throughput,n2_b1,2,1,10,avx512_phys,AVX512,0.000020,0.500000,0.010000,0.0237,1.0000,1,0,1,1,0,ok,-
throughput,n2_b1,2,1,20,avx512_logical,AVX512,0.000020,0.500000,0.010000,0.0237,1.0000,1,0,1,1,0,ok,-
throughput,n4_b1,4,1,1,baseline_sse42_1t,SSE4_2,0.000022,1.818182,0.020000,0.0861,1.0000,1,0,1,1,0,ok,-
throughput,n4_b1,4,1,10,avx512_phys,AVX512,0.000024,1.666667,0.020000,0.0789,0.9167,1,0,1,1,0,ok,-
throughput,n4_b1,4,1,20,avx512_logical,AVX512,0.000024,1.666667,0.020000,0.0789,0.9167,1,0,1,1,0,ok,-
throughput,n8_b1,8,1,1,baseline_sse42_1t,SSE4_2,0.000022,5.454545,0.030000,0.2583,1.0000,1,0,1,1,0,ok,-
throughput,n8_b1,8,1,10,avx512_phys,AVX512,0.000021,5.714286,0.030000,0.2706,1.0476,1,0,1,1,0,ok,-
throughput,n8_b1,8,1,20,avx512_logical,AVX512,0.000021,5.714286,0.030000,0.2706,1.0476,1,0,1,1,0,ok,-
throughput,n16_b1,16,1,1,baseline_sse42_1t,SSE4_2,0.000026,12.307692,0.060000,0.5828,1.0000,1,0,1,1,0,ok,-
throughput,n16_b1,16,1,10,avx512_phys,AVX512,0.000022,14.545455,0.060000,0.6887,1.1818,1,0,1,1,0,ok,-
throughput,n16_b1,16,1,20,avx512_logical,AVX512,0.000022,14.545455,0.060000,0.6887,1.1818,1,0,1,1,0,ok,-
throughput,n32_b1,32,1,1,baseline_sse42_1t,SSE4_2,0.000039,20.512821,0.130000,0.9713,1.0000,1,0,1,1,0,ok,-
throughput,n32_b1,32,1,10,avx512_phys,AVX512,0.000035,22.857143,0.130000,1.0823,1.1143,1,0,1,1,0,ok,-
throughput,n32_b1,32,1,20,avx512_logical,AVX512,0.000033,24.242424,0.130000,1.1478,1.1818,1,0,1,1,0,ok,-
throughput,n64_b1,64,1,1,baseline_sse42_1t,SSE4_2,0.000091,21.098901,0.250000,0.9990,1.0000,1,0,1,1,0,ok,-
throughput,n64_b1,64,1,10,avx512_phys,AVX512,0.000045,42.666667,0.250000,2.0202,2.0222,1,0,1,1,0,ok,-
throughput,n64_b1,64,1,20,avx512_logical,AVX512,0.000047,40.851064,0.250000,1.9342,1.9362,1,0,1,1,0,ok,-
throughput,n128_b1,128,1,1,baseline_sse42_1t,SSE4_2,0.000169,26.508876,0.500000,1.2552,1.0000,1,0,1,1,0,ok,-
throughput,n128_b1,128,1,10,avx512_phys,AVX512,0.000069,64.927536,0.500000,3.0742,2.4493,1,0,1,1,0,ok,-
throughput,n128_b1,128,1,20,avx512_logical,AVX512,0.000069,64.927536,0.500000,3.0742,2.4493,1,0,1,1,0,ok,-
