workload,case,length,batch,threads,profile,isa,avg_fwd_ms,avg_fwd_sp_gflops,avg_mem_mb,fwd_pct_of_peak,fwd_speedup_vs_sse42_1t,samples_ok,samples_skip,samples_expected,check_ok,check_fail,quality,note
throughput,n2_b1,2,1,1,baseline_sse42_1t,SSE4_2,0.000018,0.555556,0.000000,0.0263,1.0000,3,0,3,3,0,ok,-
throughput,n2_b1,2,1,10,avx512_phys,AVX512,0.000017,0.576923,0.000000,0.0273,1.0385,3,0,3,3,0,ok,-
throughput,n2_b1,2,1,20,avx512_logical,AVX512,0.000018,0.566038,0.000000,0.0268,1.0189,3,0,3,3,0,ok,-
throughput,n2_b10,2,10,1,baseline_sse42_1t,SSE4_2,0.000053,1.886792,0.000000,0.0893,1.0000,3,0,3,3,0,ok,-
throughput,n2_b10,2,10,10,avx512_phys,AVX512,0.000054,1.863354,0.000000,0.0882,0.9876,3,0,3,3,0,ok,-
throughput,n2_b10,2,10,20,avx512_logical,AVX512,0.000053,1.886792,0.000000,0.0893,1.0000,3,0,3,3,0,ok,-
throughput,n2_b16,2,16,1,baseline_sse42_1t,SSE4_2,0.000085,1.882353,0.000000,0.0891,1.0000,3,0,3,3,0,ok,-
throughput,n2_b16,2,16,10,avx512_phys,AVX512,0.000084,1.904762,0.000000,0.0902,1.0119,3,0,3,3,0,ok,-
throughput,n2_b16,2,16,20,avx512_logical,AVX512,0.000084,1.904762,0.000000,0.0902,1.0119,3,0,3,3,0,ok,-
throughput,n2_b150,2,150,1,baseline_sse42_1t,SSE4_2,0.000578,2.596653,0.000000,0.1229,1.0000,3,0,3,3,0,ok,-
throughput,n2_b150,2,150,10,avx512_phys,AVX512,0.000586,2.559727,0.000000,0.1212,0.9858,3,0,3,3,0,ok,-
throughput,n2_b150,2,150,20,avx512_logical,AVX512,0.000574,2.613240,0.000000,0.1237,1.0064,3,0,3,3,0,ok,-
throughput,n2_b256,2,256,1,baseline_sse42_1t,SSE4_2,0.000962,2.660201,0.010000,0.1260,1.0000,3,0,3,3,0,ok,-
