workload,case,length,batch,core_count,threads_per_core,threads,profile,isa,avg_fwd_ms,avg_fwd_sp_gflops,avg_mem_mb,fwd_pct_of_peak,fwd_speedup_vs_c01_t01,samples_ok,samples_skip,samples_expected,check_ok,check_fail,quality,note
throughput,n2_b1,2,1,1,1,1,avx512_c01_t01,AVX512,0.000020,0.500000,1.000000,0.0237,1.0000,1,0,1,1,0,ok,-
throughput,n2_b1,2,1,1,2,2,avx512_c01_t02,AVX512,0.000020,0.500000,1.000000,0.0237,1.0000,1,0,1,1,0,ok,-
throughput,n2_b1,2,1,2,1,2,avx512_c02_t02,AVX512,0.000020,0.500000,1.000000,0.0237,1.0000,1,0,1,1,0,ok,-
throughput,n2_b1,2,1,2,2,4,avx512_c02_t04,AVX512,0.000023,0.434783,1.000000,0.0206,0.8696,1,0,1,1,0,ok,-
throughput,n2_b1,2,1,3,1,3,avx512_c03_t03,AVX512,0.000020,0.500000,1.000000,0.0237,1.0000,1,0,1,1,0,ok,-
throughput,n2_b1,2,1,3,2,6,avx512_c03_t06,AVX512,0.000020,0.500000,1.000000,0.0237,1.0000,1,0,1,1,0,ok,-
throughput,n2_b1,2,1,4,1,4,avx512_c04_t04,AVX512,0.000020,0.500000,1.000000,0.0237,1.0000,1,0,1,1,0,ok,-
throughput,n2_b1,2,1,4,2,8,avx512_c04_t08,AVX512,0.000022,0.454545,1.000000,0.0215,0.9091,1,0,1,1,0,ok,-
throughput,n2_b1,2,1,5,1,5,avx512_c05_t05,AVX512,0.000021,0.476190,1.000000,0.0225,0.9524,1,0,1,1,0,ok,-
throughput,n2_b1,2,1,5,2,10,avx512_c05_t10,AVX512,0.000020,0.500000,1.000000,0.0237,1.0000,1,0,1,1,0,ok,-
throughput,n2_b1,2,1,6,1,6,avx512_c06_t06,AVX512,0.000021,0.476190,1.000000,0.0225,0.9524,1,0,1,1,0,ok,-
throughput,n2_b1,2,1,6,2,12,avx512_c06_t12,AVX512,0.000024,0.416667,1.000000,0.0197,0.8333,1,0,1,1,0,ok,-
throughput,n2_b1,2,1,7,1,7,avx512_c07_t07,AVX512,0.000032,0.312500,1.000000,0.0148,0.6250,1,0,1,1,0,ok,-
throughput,n2_b1,2,1,7,2,14,avx512_c07_t14,AVX512,0.000021,0.476190,1.000000,0.0225,0.9524,1,0,1,1,0,ok,-
throughput,n2_b1,2,1,8,1,8,avx512_c08_t08,AVX512,0.000022,0.454545,1.000000,0.0215,0.9091,1,0,1,1,0,ok,-
throughput,n2_b1,2,1,8,2,16,avx512_c08_t16,AVX512,0.000021,0.476190,1.000000,0.0225,0.9524,1,0,1,1,0,ok,-
throughput,n2_b1,2,1,9,1,9,avx512_c09_t09,AVX512,0.000021,0.476190,1.000000,0.0225,0.9524,1,0,1,1,0,ok,-
throughput,n2_b1,2,1,9,2,18,avx512_c09_t18,AVX512,0.000023,0.434783,1.000000,0.0206,0.8696,1,0,1,1,0,ok,-
throughput,n2_b1,2,1,10,1,10,avx512_c10_t10,AVX512,0.000020,0.500000,1.000000,0.0237,1.0000,1,0,1,1,0,ok,-
throughput,n2_b1,2,1,10,2,20,avx512_c10_t20,AVX512,0.000021,0.476190,1.000000,0.0225,0.9524,1,0,1,1,0,ok,-
throughput,n4_b1,4,1,1,1,1,avx512_c01_t01,AVX512,0.000024,1.666667,2.000000,0.0789,1.0000,1,0,1,1,0,ok,-
throughput,n4_b1,4,1,1,2,2,avx512_c01_t02,AVX512,0.000024,1.666667,2.000000,0.0789,1.0000,1,0,1,1,0,ok,-
throughput,n4_b1,4,1,2,1,2,avx512_c02_t02,AVX512,0.000024,1.666667,2.000000,0.0789,1.0000,1,0,1,1,0,ok,-
throughput,n4_b1,4,1,2,2,4,avx512_c02_t04,AVX512,0.000027,1.481481,2.000000,0.0701,0.8889,1,0,1,1,0,ok,-
throughput,n4_b1,4,1,3,1,3,avx512_c03_t03,AVX512,0.000024,1.666667,2.000000,0.0789,1.0000,1,0,1,1,0,ok,-
throughput,n4_b1,4,1,3,2,6,avx512_c03_t06,AVX512,0.000023,1.739130,2.000000,0.0823,1.0435,1,0,1,1,0,ok,-
throughput,n4_b1,4,1,4,1,4,avx512_c04_t04,AVX512,0.000024,1.666667,2.000000,0.0789,1.0000,1,0,1,1,0,ok,-
throughput,n4_b1,4,1,4,2,8,avx512_c04_t08,AVX512,0.000026,1.538462,2.000000,0.0728,0.9231,1,0,1,1,0,ok,-
throughput,n4_b1,4,1,5,1,5,avx512_c05_t05,AVX512,0.000025,1.600000,2.000000,0.0758,0.9600,1,0,1,1,0,ok,-
throughput,n4_b1,4,1,5,2,10,avx512_c05_t10,AVX512,0.000025,1.600000,2.000000,0.0758,0.9600,1,0,1,1,0,ok,-
throughput,n4_b1,4,1,6,1,6,avx512_c06_t06,AVX512,0.000025,1.600000,2.000000,0.0758,0.9600,1,0,1,1,0,ok,-
throughput,n4_b1,4,1,6,2,12,avx512_c06_t12,AVX512,0.000030,1.333333,2.000000,0.0631,0.8000,1,0,1,1,0,ok,-
throughput,n4_b1,4,1,7,1,7,avx512_c07_t07,AVX512,0.000027,1.481481,2.000000,0.0701,0.8889,1,0,1,1,0,ok,-
throughput,n4_b1,4,1,7,2,14,avx512_c07_t14,AVX512,0.000025,1.600000,2.000000,0.0758,0.9600,1,0,1,1,0,ok,-
throughput,n4_b1,4,1,8,1,8,avx512_c08_t08,AVX512,0.000025,1.600000,2.000000,0.0758,0.9600,1,0,1,1,0,ok,-
throughput,n4_b1,4,1,8,2,16,avx512_c08_t16,AVX512,0.000031,1.290323,2.000000,0.0611,0.7742,1,0,1,1,0,ok,-
throughput,n4_b1,4,1,9,1,9,avx512_c09_t09,AVX512,0.000025,1.600000,2.000000,0.0758,0.9600,1,0,1,1,0,ok,-
throughput,n4_b1,4,1,9,2,18,avx512_c09_t18,AVX512,0.000027,1.481481,2.000000,0.0701,0.8889,1,0,1,1,0,ok,-
throughput,n4_b1,4,1,10,1,10,avx512_c10_t10,AVX512,0.000026,1.538462,2.000000,0.0728,0.9231,1,0,1,1,0,ok,-
throughput,n4_b1,4,1,10,2,20,avx512_c10_t20,AVX512,0.000024,1.666667,2.000000,0.0789,1.0000,1,0,1,1,0,ok,-
throughput,n8_b1,8,1,1,1,1,avx512_c01_t01,AVX512,0.000022,5.454545,4.000000,0.2583,1.0000,1,0,1,1,0,ok,-
throughput,n8_b1,8,1,1,2,2,avx512_c01_t02,AVX512,0.000021,5.714286,4.000000,0.2706,1.0476,1,0,1,1,0,ok,-
throughput,n8_b1,8,1,2,1,2,avx512_c02_t02,AVX512,0.000022,5.454545,4.000000,0.2583,1.0000,1,0,1,1,0,ok,-
throughput,n8_b1,8,1,2,2,4,avx512_c02_t04,AVX512,0.000034,3.529412,4.000000,0.1671,0.6471,1,0,1,1,0,ok,-
throughput,n8_b1,8,1,3,1,3,avx512_c03_t03,AVX512,0.000021,5.714286,4.000000,0.2706,1.0476,1,0,1,1,0,ok,-
