workload,case,length,batch,core_count,threads_per_core,threads,profile,isa,avg_fwd_ms,avg_fwd_sp_gflops,avg_mem_mb,fwd_pct_of_peak,fwd_speedup_vs_c01_t01,samples_ok,samples_skip,samples_expected,check_ok,check_fail,quality,note
throughput,n1024_b1,1024,1,1,1,1,avx512_c01_t01,AVX512,0.000590,86.779661,0.020000,4.1089,1.0000,1,0,1,0,0,incomplete,missing_check
throughput,n1024_b1,1024,1,1,2,2,avx512_c01_t02,AVX512,0.000569,89.982425,0.020000,4.2605,1.0369,1,0,1,0,0,incomplete,missing_check
throughput,n1024_b1,1024,1,2,1,2,avx512_c02_t02,AVX512,0.000524,97.709924,0.020000,4.6264,1.1260,1,0,1,0,0,incomplete,missing_check
throughput,n1024_b1,1024,1,2,2,4,avx512_c02_t04,AVX512,0.000592,86.486486,0.020000,4.0950,0.9966,1,0,1,0,0,incomplete,missing_check
throughput,n1024_b1,1024,1,3,1,3,avx512_c03_t03,AVX512,0.000555,92.252252,0.020000,4.3680,1.0631,1,0,1,0,0,incomplete,missing_check
throughput,n1024_b1,1024,1,3,2,6,avx512_c03_t06,AVX512,0.000541,94.639556,0.020000,4.4810,1.0906,1,0,1,0,0,incomplete,missing_check
throughput,n1024_b1,1024,1,4,1,4,avx512_c04_t04,AVX512,0.000538,95.167286,0.020000,4.5060,1.0967,1,0,1,0,0,incomplete,missing_check
throughput,n1024_b1,1024,1,4,2,8,avx512_c04_t08,AVX512,0.000555,92.252252,0.020000,4.3680,1.0631,1,0,1,0,0,incomplete,missing_check
throughput,n1024_b1,1024,1,5,1,5,avx512_c05_t05,AVX512,0.000564,90.780142,0.020000,4.2983,1.0461,1,0,1,0,0,incomplete,missing_check
throughput,n1024_b1,1024,1,5,2,10,avx512_c05_t10,AVX512,0.000517,99.032882,0.020000,4.6891,1.1412,1,0,1,0,0,incomplete,missing_check
throughput,n1024_b1,1024,1,6,1,6,avx512_c06_t06,AVX512,0.000533,96.060038,0.020000,4.5483,1.1069,1,0,1,0,0,incomplete,missing_check
throughput,n1024_b1,1024,1,6,2,12,avx512_c06_t12,AVX512,0.000527,97.153700,0.020000,4.6001,1.1195,1,0,1,0,0,incomplete,missing_check
throughput,n1024_b1,1024,1,7,1,7,avx512_c07_t07,AVX512,0.000550,93.090909,0.020000,4.4077,1.0727,1,0,1,0,0,incomplete,missing_check
throughput,n1024_b1,1024,1,7,2,14,avx512_c07_t14,AVX512,0.000539,94.990724,0.020000,4.4977,1.0946,1,0,1,0,0,incomplete,missing_check
throughput,n1024_b1,1024,1,8,1,8,avx512_c08_t08,AVX512,0.000528,96.969697,0.020000,4.5914,1.1174,1,0,1,0,0,incomplete,missing_check
throughput,n1024_b1,1024,1,8,2,16,avx512_c08_t16,AVX512,0.000540,94.814815,0.020000,4.4893,1.0926,1,0,1,0,0,incomplete,missing_check
throughput,n1024_b1,1024,1,9,1,9,avx512_c09_t09,AVX512,0.000605,84.628099,0.020000,4.0070,0.9752,1,0,1,0,0,incomplete,missing_check
throughput,n1024_b1,1024,1,9,2,18,avx512_c09_t18,AVX512,0.000559,91.592129,0.020000,4.3367,1.0555,1,0,1,0,0,incomplete,missing_check
throughput,n1024_b1,1024,1,10,1,10,avx512_c10_t10,AVX512,0.000566,90.459364,0.020000,4.2831,1.0424,1,0,1,0,0,incomplete,missing_check
throughput,n1024_b1,1024,1,10,2,20,avx512_c10_t20,AVX512,0.000593,86.340641,0.020000,4.0881,0.9949,1,0,1,0,0,incomplete,missing_check
throughput,n2048_b1,2048,1,1,1,1,avx512_c01_t01,AVX512,0.001453,77.522368,0.050000,3.6706,1.0000,1,0,1,0,0,incomplete,missing_check
throughput,n2048_b1,2048,1,1,2,2,avx512_c01_t02,AVX512,0.001390,81.035971,0.050000,3.8369,1.0453,1,0,1,0,0,incomplete,missing_check
