Function                                     CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Spin Time:Imbalance or Serial Spinning  CPU Time:Spin Time:Lock Contention  CPU Time:Spin Time:Other  CPU Time:Overhead Time  CPU Time:Overhead Time:Creation  CPU Time:Overhead Time:Scheduling  CPU Time:Overhead Time:Reduction  CPU Time:Overhead Time:Atomics  CPU Time:Overhead Time:Other  Module                    Function (Full)                            Source File      Start Address
-------------------------------------------  --------  -----------------------  ------------------  -----------------------------------------------  ----------------------------------  ------------------------  ----------------------  -------------------------------  ---------------------------------  --------------------------------  ------------------------------  ----------------------------  ------------------------  -----------------------------------------  ---------------  -------------
__kmp_fork_barrier                             0.110s                       0s              0.110s                                           0.110s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libiomp5.so               __kmp_fork_barrier(int, int)               kmp_barrier.cpp  0x82a40      
dlopen                                         0.110s                   0.110s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libdl.so.2                dlopen                                     [Unknown]        0xfe0        
memset                                         0.090s                   0.090s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so           memset                                     [Unknown]        0x6a3b0      
memcmp                                         0.050s                   0.050s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so           memcmp                                     [Unknown]        0x69ce0      
[ld-linux-x86-64.so.2]                         0.040s                   0.040s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  ld-linux-x86-64.so.2      [ld-linux-x86-64.so.2]                     [Unknown]        0            
[MKL SERVICE]@domain_get_max_threads           0.020s                       0s                  0s                                               0s                                  0s                        0s                  0.020s                               0s                                 0s                                0s                              0s                        0.020s  libmkl_intel_thread.so.2  mkl_serv_domain_get_max_threads            [Unknown]        0x29ce00     
OS_BARESYSCALL_DoCallAsmIntel64Linux           0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so           OS_BARESYSCALL_DoCallAsmIntel64Linux       [Unknown]        0x80954      
rand                                           0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc.so.6                 rand                                       [Unknown]        0x51e90      
_dwarf_get_abbrev_for_code                     0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libdwarf.so               _dwarf_get_abbrev_for_code                 [Unknown]        0x4f230      
[MKL FFT]@avx512_mg_colbatch_plain_fwd_16_s    0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libmkl_avx512.so.2        mkl_dft_avx512_mg_colbatch_plain_fwd_16_s  [Unknown]        0x219a6f0    
pthread_create                                 0.010s                       0s                  0s                                               0s                                  0s                        0s                  0.010s                           0.010s                                 0s                                0s                              0s                            0s  libpthread.so.0           pthread_create                             [Unknown]        0x84b0       
memmove                                        0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so           memmove                                    [Unknown]        0x69e90      
memcpy                                         0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so           memcpy                                     [Unknown]        0x69d90      
_dwarf_siblingof_internal                      0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libdwarf.so               _dwarf_siblingof_internal                  [Unknown]        0x104e0      
strlen                                         0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so           strlen                                     [Unknown]        0x3e730      
