Function                              CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Spin Time:Imbalance or Serial Spinning  CPU Time:Spin Time:Lock Contention  CPU Time:Spin Time:Other  CPU Time:Overhead Time  CPU Time:Overhead Time:Creation  CPU Time:Overhead Time:Scheduling  CPU Time:Overhead Time:Reduction  CPU Time:Overhead Time:Atomics  CPU Time:Overhead Time:Other  Module                    Function (Full)                                          Source File  Start Address
------------------------------------  --------  -----------------------  ------------------  -----------------------------------------------  ----------------------------------  ------------------------  ----------------------  -------------------------------  ---------------------------------  --------------------------------  ------------------------------  ----------------------------  ------------------------  -------------------------------------------------------  -----------  -------------
memset                                  0.210s                   0.210s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so           memset                                                   [Unknown]    0x6a3b0      
memcmp                                  0.070s                   0.070s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so           memcmp                                                   [Unknown]    0x69ce0      
[ld-linux-x86-64.so.2]                  0.050s                   0.050s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  ld-linux-x86-64.so.2      [ld-linux-x86-64.so.2]                                   [Unknown]    0            
dlopen                                  0.050s                   0.050s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libdl.so.2                dlopen                                                   [Unknown]    0xfe0        
TraverseDwarfRecursive                  0.030s                   0.030s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libpindwarf.so            TraverseDwarfRecursive(Dwarf_Die_s*&, DWARFData&, int&)  [Unknown]    0x61f0       
memmove                                 0.020s                   0.020s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so           memmove                                                  [Unknown]    0x69e90      
[MKL SERVICE]@domain_get_max_threads    0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libmkl_intel_thread.so.2  mkl_serv_domain_get_max_threads                          [Unknown]    0x29ce00     
_dl_addr                                0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc.so.6                 _dl_addr                                                 [Unknown]    0x178ad0     
strlen                                  0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so           strlen                                                   [Unknown]    0x3e730      
_dwarf_leb128_uword_wrapper             0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libdwarf.so               _dwarf_leb128_uword_wrapper                              [Unknown]    0x50410      
_dwarf_next_cu_header_internal          0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libdwarf.so               _dwarf_next_cu_header_internal                           [Unknown]    0x129c0      
