Function                                      Module                Function (Full)                             Source File      Start Address
--------------------------------------------  --------------------  ------------------------------------------  ---------------  -------------
AllocateNewTlsPerThreadFunc                   libc-dynamic.so       AllocateNewTlsPerThreadFunc                 [Unknown]        0x7b5b0      
[MKL FFT]@avx512_mg_rowbatch_twidl_fwd_032_s  libmkl_avx512.so.2    mkl_dft_avx512_mg_rowbatch_twidl_fwd_032_s  [Unknown]        0x213ef40    
[ld-linux-x86-64.so.2]                        ld-linux-x86-64.so.2  [ld-linux-x86-64.so.2]                      [Unknown]        0            
__kmp_fork_barrier                            libiomp5.so           __kmp_fork_barrier(int, int)                kmp_barrier.cpp  0x82a40      
_dwarf_calculate_info_section_end_ptr         libdwarf.so           _dwarf_calculate_info_section_end_ptr       [Unknown]        0x46310      
_dwarf_check_string_valid                     libdwarf.so           _dwarf_check_string_valid                   [Unknown]        0x4e640      
dlopen                                        libdl.so.2            dlopen                                      [Unknown]        0xfe0        
memcmp                                        libc-dynamic.so       memcmp                                      [Unknown]        0x69ce0      
memmove                                       libc-dynamic.so       memmove                                     [Unknown]        0x69e90      
memset                                        libc-dynamic.so       memset                                      [Unknown]        0x6a3b0      
rml::internal::doInitialization               libtbbmalloc.so.2     rml::internal::doInitialization(void)       frontend.cpp     0xc840       
strlen                                        libc-dynamic.so       strlen                                      [Unknown]        0x3e730      
