Function                              CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Spin Time:Imbalance or Serial Spinning  CPU Time:Spin Time:Lock Contention  CPU Time:Spin Time:Other  CPU Time:Overhead Time  CPU Time:Overhead Time:Creation  CPU Time:Overhead Time:Scheduling  CPU Time:Overhead Time:Reduction  CPU Time:Overhead Time:Atomics  CPU Time:Overhead Time:Other  Module                    Function (Full)                       Source File  Start Address
------------------------------------  --------  -----------------------  ------------------  -----------------------------------------------  ----------------------------------  ------------------------  ----------------------  -------------------------------  ---------------------------------  --------------------------------  ------------------------------  ----------------------------  ------------------------  ------------------------------------  -----------  -------------
dlopen                                  0.130s                   0.130s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libdl.so.2                dlopen                                [Unknown]    0xfe0        
memset                                  0.090s                   0.090s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so           memset                                [Unknown]    0x6a3b0      
[ld-linux-x86-64.so.2]                  0.030s                   0.030s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  ld-linux-x86-64.so.2      [ld-linux-x86-64.so.2]                [Unknown]    0            
memcmp                                  0.030s                   0.030s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so           memcmp                                [Unknown]    0x69ce0      
memmove                                 0.030s                   0.030s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so           memmove                               [Unknown]    0x69e90      
[MKL SERVICE]@domain_get_max_threads    0.020s                       0s                  0s                                               0s                                  0s                        0s                  0.020s                               0s                                 0s                                0s                              0s                        0.020s  libmkl_intel_thread.so.2  mkl_serv_domain_get_max_threads       [Unknown]    0x29ce00     
_dwarf_load_elf_symtab_symbols          0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libdwarf.so               _dwarf_load_elf_symtab_symbols        [Unknown]    0x17570      
run_benchmark                           0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  fft_benchmark             run_benchmark                         [Unknown]    0x4018e0     
strlen                                  0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so           strlen                                [Unknown]    0x3e730      
_tsearch_inner.constprop.0              0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libdwarf.so               _tsearch_inner.constprop.0            [Unknown]    0x4db30      
dwarf_highpc_b                          0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libdwarf.so               dwarf_highpc_b                        [Unknown]    0x47910      
OS_BARESYSCALL_DoCallAsmIntel64Linux    0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so           OS_BARESYSCALL_DoCallAsmIntel64Linux  [Unknown]    0x80954      
