Function                              CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Spin Time:Imbalance or Serial Spinning  CPU Time:Spin Time:Lock Contention  CPU Time:Spin Time:Other  CPU Time:Overhead Time  CPU Time:Overhead Time:Creation  CPU Time:Overhead Time:Scheduling  CPU Time:Overhead Time:Reduction  CPU Time:Overhead Time:Atomics  CPU Time:Overhead Time:Other  Module                Function (Full)                       Source File  Start Address
------------------------------------  --------  -----------------------  ------------------  -----------------------------------------------  ----------------------------------  ------------------------  ----------------------  -------------------------------  ---------------------------------  --------------------------------  ------------------------------  ----------------------------  --------------------  ------------------------------------  -----------  -------------
dlopen                                  0.100s                   0.100s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libdl.so.2            dlopen                                [Unknown]    0xfe0        
memset                                  0.090s                   0.090s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so       memset                                [Unknown]    0x6a3b0      
[ld-linux-x86-64.so.2]                  0.080s                   0.080s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  ld-linux-x86-64.so.2  [ld-linux-x86-64.so.2]                [Unknown]    0            
memcmp                                  0.050s                   0.050s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so       memcmp                                [Unknown]    0x69ce0      
OS_BARESYSCALL_DoCallAsmIntel64Linux    0.020s                   0.020s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so       OS_BARESYSCALL_DoCallAsmIntel64Linux  [Unknown]    0x80954      
strlen                                  0.020s                   0.020s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so       strlen                                [Unknown]    0x3e730      
memcpy                                  0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so       memcpy                                [Unknown]    0x69d90      
_dwarf_get_size_of_val                  0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libdwarf.so           _dwarf_get_size_of_val                [Unknown]    0x4e6b0      
memmove                                 0.010s                   0.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-dynamic.so       memmove                               [Unknown]    0x69e90      
