workload,case,length,batch,threads_field,profile,timing_mode,avg_fwd_ms,avg_fwd_sp_gflops,avg_bwd_ms,avg_bwd_sp_gflops,avg_mem_mb,fwd_pct_of_peak,bwd_pct_of_peak,samples_ok,samples_skip,samples_expected,quality,note
throughput,n32_b1,32,1,1,cufft_gpu,compute,0.002606,0.3069838833461243,0.002509,0.3188521323236349,0.0,0.0008337893160344862,0.0008660242955702953,1,0,1,ok,-
throughput,n32_b2,32,2,1,cufft_gpu,compute,0.002597,0.6160954948016942,0.002816,0.5681818181818182,0.0,0.0016733576877827267,0.001543220850558147,1,0,1,ok,-
throughput,n32_b4,32,4,1,cufft_gpu,compute,0.00256,1.25,0.002658,1.2039127163280663,0.0,0.003395085871227923,0.003269909642717639,1,0,1,ok,-
throughput,n32_b8,32,8,1,cufft_gpu,compute,0.002662,2.4042073628850487,0.00256,2.5,0.0,0.006529992359386538,0.006790171742455846,1,0,1,ok,-
throughput,n32_b16,32,16,1,cufft_gpu,compute,0.002662,4.808414725770097,0.002677,4.781471796787448,0.01,0.013059984718773076,0.012986805872758285,1,0,1,ok,-
throughput,n32_b32,32,32,1,cufft_gpu,compute,0.002867,8.929194279734915,0.002963,8.639892001349983,0.02,0.024252305072461764,0.023466540210174778,1,0,1,ok,-
throughput,n32_b64,32,64,1,cufft_gpu,compute,0.002907,17.61265909872721,0.002856,17.92717086834734,0.03,0.04783719204867415,0.048691427620971894,1,0,1,ok,-
throughput,n32_b128,32,128,1,cufft_gpu,compute,0.002931,34.936881610371884,0.002918,35.09252912954078,0.06,0.09489097051210899,0.09531371986668659,1,0,1,ok,-
throughput,n32_b256,32,256,1,cufft_gpu,compute,0.00297,68.95622895622895,0.002918,70.18505825908156,0.12,0.1872898549299606,0.19062743973337318,1,0,1,ok,-
throughput,n32_b512,32,512,1,cufft_gpu,compute,0.002918,140.37011651816312,0.00297,137.9124579124579,0.25,0.38125487946674635,0.3745797098599212,1,0,1,ok,-
throughput,n32_b1024,32,1024,1,cufft_gpu,compute,0.003027,270.6309877766766,0.003029,270.4522944866292,0.5,0.7350523543336412,0.7345670110821827,1,0,1,ok,-
throughput,n32_b2048,32,2048,1,cufft_gpu,compute,0.003226,507.8735275883447,0.003226,507.8735275883447,1.0,1.3794193903086993,1.3794193903086993,1,0,1,ok,-
throughput,n32_b4096,32,4096,1,cufft_gpu,compute,0.004184,783.1739961759082,0.004045,810.0865265760198,2.0,2.12715437530395,2.2002506566802786,1,0,1,ok,-
throughput,n32_b8192,32,8192,1,cufft_gpu,compute,0.005478,1196.3490324936108,0.005478,1196.3490324936108,4.0,3.249366157821003,3.249366157821003,1,0,1,ok,-
throughput,n32_b16384,32,16384,1,cufft_gpu,compute,0.012643,1036.7159693110812,0.01253,1046.0654429369513,8.0,2.81579179190753,2.841185604556018,1,0,1,ok,-
throughput,n32_b32768,32,32768,1,cufft_gpu,compute,0.026214,1000.0152590218967,0.026317,996.1013793365505,16.0,2.7161101415340587,2.7054797754369346,1,0,1,ok,-
throughput,n32_b65536,32,65536,1,cufft_gpu,compute,0.050586,1036.4290515162297,0.050598,1036.1832483497371,32.0,2.815012503466327,2.8143448851801973,1,0,1,ok,-
throughput,n64_b1,64,1,1,cufft_gpu,compute,0.002355,0.8152866242038217,0.002406,0.7980049875311721,0.0,0.0022143744790684037,0.002167436366669198,1,0,1,ok,-
throughput,n64_b2,64,2,1,cufft_gpu,compute,0.002406,1.5960099750623442,0.002402,1.5986677768526227,0.0,0.004334872733338396,0.004342091505583755,1,0,1,ok,-
throughput,n64_b4,64,4,1,cufft_gpu,compute,0.002355,3.261146496815287,0.002406,3.1920199501246884,0.0,0.008857497916273615,0.008669745466676792,1,0,1,ok,-
throughput,n64_b8,64,8,1,cufft_gpu,compute,0.002406,6.384039900249377,0.002406,6.384039900249377,0.01,0.017339490933353584,0.017339490933353584,1,0,1,ok,-
throughput,n64_b16,64,16,1,cufft_gpu,compute,0.002458,12.497965825874696,0.002458,12.497965825874696,0.02,0.03394533375561328,0.03394533375561328,1,0,1,ok,-
throughput,n64_b32,64,32,1,cufft_gpu,compute,0.00256,24.0,0.002509,24.48784376245516,0.03,0.06518564872757612,0.06651066589979868,1,0,1,ok,-
throughput,n64_b64,64,64,1,cufft_gpu,compute,0.002549,48.2071400549235,0.002803,43.83874420264003,0.06,0.13093390407422117,0.11906904084380655,1,0,1,ok,-
throughput,n64_b128,64,128,1,cufft_gpu,compute,0.002502,98.22541966426859,0.002509,97.95137504982064,0.12,0.2667869875980734,0.2660426635991947,1,0,1,ok,-
throughput,n64_b256,64,256,1,cufft_gpu,compute,0.00256,192.0,0.002509,195.90275009964128,0.25,0.521485189820609,0.5320853271983894,1,0,1,ok,-
throughput,n64_b512,64,512,1,cufft_gpu,compute,0.002714,362.210759027266,0.002699,364.22378658762506,0.5,0.9837893043041703,0.9892568254470242,1,0,1,ok,-
throughput,n64_b1024,64,1024,1,cufft_gpu,compute,0.003072,640.0,0.003061,642.2999019928128,1.0,1.7382839660686966,1.7445306578775028,1,0,1,ok,-
throughput,n64_b2048,64,2048,1,cufft_gpu,compute,0.003738,1051.9422150882824,0.003738,1051.9422150882824,2.0,2.857147321435546,2.857147321435546,1,0,1,ok,-
throughput,n64_b4096,64,4096,1,cufft_gpu,compute,0.004557,1725.7669519420672,0.004506,1745.2996005326231,4.0,4.687301596456472,4.740353611862438,1,0,1,ok,-
throughput,n64_b8192,64,8192,1,cufft_gpu,compute,0.012792,1229.5684803001877,0.012032,1307.2340425531916,8.0,3.339592460139485,3.550537462608402,1,0,1,ok,-
throughput,n64_b16384,64,16384,1,cufft_gpu,compute,0.026419,1190.7066883682198,0.026414,1190.9320814719467,16.0,3.2340411635644264,3.2346533467179746,1,0,1,ok,-
throughput,n64_b32768,64,32768,1,cufft_gpu,compute,0.05139,1224.25685931115,0.051339,1225.4730321977445,32.0,3.3251657326409254,3.3284689417483233,1,0,1,ok,-
throughput,n64_b65536,64,65536,1,cufft_gpu,compute,0.100184,1255.980196438553,0.100146,1256.4567731112575,64.0,3.4113284955764827,3.412622910558927,1,0,1,ok,-
throughput,n128_b1,128,1,1,cufft_gpu,compute,0.002621,1.70927127050744,0.00261,1.7164750957854407,0.0,0.004642498192476489,0.004662064276812597,1,0,1,ok,-
