set_id,manifest,profile_id,workload,case_id,n,batch,threads_field,timing_mode,run_count,fwd_ms_mean,fwd_ms_std,bwd_ms_mean,bwd_ms_std,fwd_gflops_std,bwd_gflops_std,mem_mb_mean,fwd_gflops_mean,bwd_gflops_mean,mkl_fwd_profile,mkl_fwd_ms,mkl_fwd_gflops,mkl_bwd_profile,mkl_bwd_ms,mkl_bwd_gflops,fwd_gflops_speedup_vs_mkl,bwd_gflops_speedup_vs_mkl,fwd_latency_speedup_vs_mkl,bwd_latency_speedup_vs_mkl,gpu_beats_mkl_fwd,gpu_beats_mkl_bwd
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n32_b1,32,1,1,compute,1,0.002606,0.0,0.002509,0.0,0.0,0.0,0.0,0.306937,0.318878,baseline_sse42_1t,4.5e-05,17.78,avx512_logical,4.1e-05,19.51,0.01726304836895388,0.016344336237826752,0.017267843438219497,0.01634117178158629,False,False
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n32_b2,32,2,1,compute,1,0.002597,0.0,0.002816,0.0,0.0,0.0,0.0,0.616143,0.568182,avx512_logical,5e-05,32.0,avx512_phys,5.1e-05,31.37,0.01925446875,0.018112272872170862,0.019252984212552948,0.018110795454545456,False,False
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n32_b4,32,4,1,compute,1,0.00256,0.0,0.002658,0.0,0.0,0.0,0.0,1.25,1.2040940000000002,baseline_sse42_1t,0.000115,27.83,avx512_phys,6.9e-05,46.38,0.044915558749550846,0.02596149202242346,0.044921875,0.025959367945823923,False,False
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n32_b8,32,8,1,compute,1,0.002662,0.0,0.00256,0.0,0.0,0.0,0.0,2.403846,2.5,avx512_logical,0.000117,54.7,avx512_phys,0.000122,52.46,0.043945996343692874,0.04765535646206633,0.0439519158527423,0.04765625,False,False
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n32_b16,32,16,1,compute,1,0.002662,0.0,0.002677,0.0,0.0,0.0,0.01,4.807692,4.781829000000001,baseline_sse42_1t,0.00041,31.22,baseline_sse42_1t,0.000419,30.55,0.15399397821909033,0.15652468085106386,0.15401953418482345,0.15651849084796413,False,False
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n32_b32,32,32,1,compute,1,0.002867,0.0,0.002963,0.0,0.0,0.0,0.02,8.928571,8.639309,baseline_sse42_1t,0.000795,32.2,baseline_sse42_1t,0.000809,31.64,0.27728481366459623,0.2730502212389381,0.27729333798395533,0.2730340870739116,False,False
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n32_b64,32,64,1,compute,1,0.002907,0.0,0.002856,0.0,0.0,0.0,0.03,17.611448,17.927171,baseline_sse42_1t,0.001561,32.8,avx512_phys,0.001251,40.93,0.5369343902439024,0.43799587099926707,0.5369797041623667,0.4380252100840336,False,False
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n32_b128,32,128,1,compute,1,0.002931,0.0,0.002918,0.0,0.0,0.0,0.06,34.934498,35.087719,avx512_logical,0.002777,36.87,avx512_phys,0.001383,74.04,0.947504692161649,0.4739022015126958,0.9474582053906516,0.47395476353666893,False,False
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n32_b256,32,256,1,compute,1,0.00297,0.0,0.002918,0.0,0.0,0.0,0.12,68.965516,70.175437,avx512_phys,0.001548,132.3,avx512_phys,0.001526,134.21,0.5212813000755857,0.5228778555994337,0.5212121212121211,0.522960932145305,False,False
20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,cufft_gpu,throughput,n32_b512,32,512,1,compute,1,0.002918,0.0,0.00297,0.0,0.0,0.0,0.25,140.350874,137.931031,avx512_logical,0.003264,125.49,avx512_phys,0.002011,203.68,1.1184227747230855,0.6771947712097407,1.1185743660041123,0.6771043771043772,True,False
