n,batch,mkl_fwd_profile,mkl_fwd_ms,mkl_fwd_gflops,mkl_bwd_profile,mkl_bwd_ms,mkl_bwd_gflops
32,1,avx2_1t,3.458711629917856e-05,23.13,avx2_1t,4.192872117400419e-05,19.08
32,4,avx512_1t,0.0001,39.07,avx512_logical,0.0001,39.14
32,16,avx512_1t,0.0003,43.89,avx512_1t,0.0003,45.16
64,1,avx512_1t,4.164859002169197e-05,46.1,avx512_1t,4.100811618966254e-05,46.82
64,4,avx512_1t,0.0001,73.36,avx512_1t,0.0001,68.48
64,16,avx512_1t,0.0004,82.38,avx512_1t,0.0004,85.63
128,1,avx512_1t,0.0001,74.07,avx512_1t,0.0001,70.99
128,4,avx512_1t,0.0002,98.75,avx512_1t,0.0002,98.9
128,16,avx512_1t,0.0007,99.69,avx512_1t,0.0007,100.33
256,1,avx512_1t,0.0001,69.01,avx512_1t,0.0001,68.54
256,4,avx512_1t,0.0005,77.8,avx512_1t,0.0005,78.68
256,16,avx2_phys,0.0015,105.73,avx2_phys,0.0017,97.0
512,1,avx512_1t,0.0003,81.83,avx512_1t,0.0003,81.47
512,4,avx512_1t,0.0011,80.41,avx512_1t,0.0011,80.61
512,16,avx512_phys,0.0018,209.94,avx512_phys,0.0018,200.8
1024,1,avx512_phys,0.0006,82.93,avx512_phys,0.0006,85.72
1024,4,avx512_phys,0.0018,110.85,avx512_phys,0.002,102.23
1024,16,avx512_phys,0.0032,256.2,avx512_phys,0.0027,308.84
2048,1,avx512_1t,0.0015,74.54,avx512_1t,0.0015,73.88
2048,4,avx512_logical,0.0034,134.39,avx512_phys,0.0029,157.71
2048,16,avx512_phys,0.0046,389.3,avx512_phys,0.0046,392.89
4096,1,avx512_phys,0.0036,67.77,avx512_phys,0.0037,66.53
4096,4,avx512_phys,0.0047,211.33,avx512_phys,0.0049,199.79
4096,16,avx512_logical,0.0082,477.83,avx512_logical,0.0082,478.87
8192,1,avx512_phys,0.0087,61.18,avx512_phys,0.0086,62.1
8192,4,avx512_phys,0.037,57.9,avx512_1t,0.034,62.54
8192,16,avx512_logical,0.017,511.85,avx512_logical,0.017,505.32
16384,1,avx512_logical,0.012,92.29,avx512_logical,0.013,90.4
16384,4,avx512_1t,0.08,57.08,avx512_1t,0.082,55.99
16384,16,avx512_logical,0.037,499.88,avx512_logical,0.037,498.52
32768,1,avx512_logical,0.018,138.37,avx512_logical,0.018,133.41
32768,4,avx512_1t,0.2,49.84,avx512_1t,0.2,47.63
32768,16,avx512_logical,0.1,342.2,avx512_logical,0.1,340.05
65536,1,avx512_logical,0.035,148.89,avx512_logical,0.036,147.41
65536,4,avx512_logical,0.1,147.17,avx512_logical,0.2,136.49
65536,16,avx2_phys,0.4,219.48,avx2_phys,0.4,224.57
131072,1,avx512_logical,0.067,166.47,avx512_logical,0.067,166.98
131072,4,avx512_logical,0.3,162.62,avx512_logical,0.3,163.23
131072,16,avx512_phys,1.7,105.27,avx512_phys,1.7,107.0
262144,1,avx512_logical,0.1,161.66,avx512_phys,0.1,172.63
262144,4,avx512_phys,0.6,154.19,avx512_phys,0.6,149.38
262144,16,avx512_phys,3.8,98.67,avx512_phys,3.8,98.76
524288,1,avx512_phys,0.3,179.34,avx512_logical,0.3,189.19
524288,4,avx512_phys,1.6,126.23,avx512_phys,1.5,130.32
524288,16,avx512_logical,6.9,114.68,avx512_logical,6.9,115.95
1048576,1,avx512_logical,0.5,199.64,avx512_logical,0.5,198.34
1048576,4,avx512_logical,3.6,117.35,avx512_logical,3.6,116.64
1048576,16,avx512_logical,14.0,119.77,avx512_logical,14.2,118.5
2097152,1,avx512_logical,1.4,158.91,avx512_logical,1.4,159.34
2097152,4,avx512_logical,7.4,119.23,avx512_logical,7.2,122.11
2097152,16,avx2_phys,30.5,115.49,avx512_logical,29.1,120.99
4194304,1,avx512_logical,3.7,125.98,avx512_logical,3.6,128.48
4194304,4,avx512_logical,15.9,116.04,avx512_logical,15.9,116.16
4194304,16,avx512_logical,67.0,110.13,avx512_logical,63.2,116.84
