workload,case,length,batch,threads_field,profile,family,avg_fwd_ms,avg_fwd_sp_gflops,avg_bwd_ms,avg_bwd_sp_gflops,avg_mem_mb,avg_stream_slots,avg_workarea_mb,fwd_pct_of_peak,bwd_pct_of_peak,samples_ok,samples_skip,samples_expected,check_ok,check_fail,quality,note
throughput,n2_b1,2,1,1,gpu_5001MHz,gpu_run_5001MHz,0.002663,0.003755163349605708,0.002654,0.0037678975131876413,8.0,262144.0,0.0,1.019928162591941e-05,1.0233868489006552e-05,3,0,3,3,0,ok,-
throughput,n4_b1,4,1,1,gpu_5001MHz,gpu_run_5001MHz,0.003028666666666667,0.013207131851199646,0.0030229999999999996,0.013231888852133644,16.0,262144.0,0.0,3.587147739796176e-05,3.593871911322976e-05,3,0,3,3,0,ok,-
throughput,n8_b1,8,1,1,gpu_5001MHz,gpu_run_5001MHz,0.0031803333333333336,0.03773189393145372,0.0029533333333333334,0.040632054176072234,32.0,262144.0,0.0,0.00010248241598507932,0.0001103594504417203,3,0,3,3,0,ok,-
throughput,n16_b1,16,1,1,gpu_5001MHz,gpu_run_5001MHz,0.003003,0.10656010656010656,0.002982,0.10731052984574112,64.0,262144.0,0.0,0.00028942456977500776,0.0002914627709706064,3,0,3,3,0,ok,-
throughput,n32_b1,32,1,1,gpu_5001MHz,gpu_run_5001MHz,0.0035513333333333334,0.2252675051623803,0.0035516666666666665,0.22524636320976069,128.0,262144.0,0.0,0.0006118420192188485,0.0006117845962231453,3,0,3,3,0,ok,-
throughput,n64_b1,64,1,1,gpu_5001MHz,gpu_run_5001MHz,0.0034769999999999996,0.552200172562554,0.0034756666666666664,0.5524120072887696,128.0,131072.0,0.0,0.0014998136031653987,0.0015003889608342065,3,0,3,3,0,ok,-
throughput,n128_b1,128,1,1,gpu_5001MHz,gpu_run_5001MHz,0.0038246666666666668,1.1713439079658357,0.0038220000000000003,1.172161172161172,128.0,65536.0,0.0,0.0031814505218269677,0.003183670267525085,3,0,3,3,0,ok,-
throughput,n256_b1,256,1,1,gpu_5001MHz,gpu_run_5001MHz,0.0036213333333333327,2.827687776141385,0.0036033333333333334,2.841813135985199,128.0,32768.0,0.0,0.007680194253617219,0.007718559701322612,3,0,3,3,0,ok,-
throughput,n512_b1,512,1,1,gpu_5001MHz,gpu_run_5001MHz,0.004156,5.543792107795958,0.004157,5.542458503728651,128.01,16384.0,0.0,0.015057320206562337,0.01505369804630096,3,0,3,3,0,ok,-
throughput,n1024_b1,1024,1,1,gpu_5001MHz,gpu_run_5001MHz,0.004454666666666667,11.493564800957797,0.004455,11.492704826038159,128.02,8192.0,0.01,0.031217311572619515,0.031214975821660097,3,0,3,3,0,ok,-
throughput,n2048_b1,2048,1,1,gpu_5001MHz,gpu_run_5001MHz,0.005358333333333333,21.021461897356144,0.005327000000000001,21.145109817908764,128.03,4096.0,0.02,0.05709573462421598,0.057431570870675915,3,0,3,3,0,ok,-
throughput,n4096_b1,4096,1,1,gpu_5001MHz,gpu_run_5001MHz,0.005940666666666667,41.36909437773538,0.005945,41.338940285954585,128.06,2048.0,0.03,0.11236130226187513,0.11227940167710337,3,0,3,3,0,ok,-
throughput,n8192_b1,8192,1,1,gpu_5001MHz,gpu_run_5001MHz,0.009462666666666668,56.27166408341552,0.009359999999999999,56.8888888888889,128.12,1024.0,0.06,0.15283770534407026,0.1545141303172175,3,0,3,3,0,ok,-
throughput,n16384_b1,16384,1,1,gpu_5001MHz,gpu_run_5001MHz,0.012378,92.65470996930037,0.012359,92.7971518731289,128.25,512.0,0.12,0.25165655737559417,0.2520434393717214,3,0,3,3,0,ok,-
throughput,n32768_b1,32768,1,1,gpu_5001MHz,gpu_run_5001MHz,0.010481333333333334,234.4739854980282,0.010572666666666666,232.44845198310108,128.5,256.0,0.25,0.6368474522678852,0.631345964093303,3,0,3,3,0,ok,-
throughput,n65536_b1,65536,1,1,gpu_5001MHz,gpu_run_5001MHz,0.010952333333333333,478.69982043400194,0.010850666666666666,483.18505775374786,129.0,128.0,0.5,1.3001815975318591,1.3123638102145578,3,0,3,3,0,ok,-
throughput,n131072_b1,131072,1,1,gpu_5001MHz,gpu_run_5001MHz,0.014168666666666668,786.3209899778855,0.014173666666666668,786.0436019849016,130.0,64.0,1.0,2.135701826659098,2.134948421814436,3,0,3,3,0,ok,-
throughput,n262144_b1,262144,1,1,gpu_5001MHz,gpu_run_5001MHz,0.02346933333333333,1005.2675832291785,0.023429000000000002,1006.9981646677194,132.0,32.0,2.0,2.7303758148998596,2.735076192972659,3,0,3,3,0,ok,-
throughput,n524288_b1,524288,1,1,gpu_5001MHz,gpu_run_5001MHz,0.04293,1160.1993943629163,0.042909,1160.7672050152648,136.0,16.0,4.0,3.151181257286985,3.1527234700256415,3,0,3,3,0,ok,-
throughput,n1048576_b1,1048576,1,1,gpu_5001MHz,gpu_run_5001MHz,0.09917166666666666,1057.3342520545184,0.09911700000000001,1057.9174107368058,144.0,8.0,8.0,2.8717924642525117,2.8733763632948457,3,0,3,3,0,ok,-
throughput,n2097152_b1,2097152,1,1,gpu_5001MHz,gpu_run_5001MHz,0.19884000000000002,1107.4278817139407,0.199044,1106.2928799662386,160.0,4.0,16.0,3.0078502036886943,3.004767460970741,3,0,3,3,0,ok,-
throughput,n4194304_b1,4194304,1,1,gpu_5001MHz,gpu_run_5001MHz,0.399486,1154.9176692049284,0.39780366666666667,1159.801878816267,192.0,2.0,32.0,3.1368357289193094,3.1501015777541665,3,0,3,3,0,ok,-
