workload,case,length,batch,threads_field,profile,family,avg_fwd_ms,avg_fwd_sp_gflops,avg_bwd_ms,avg_bwd_sp_gflops,avg_mem_mb,avg_stream_slots,avg_workarea_mb,fwd_pct_of_peak,bwd_pct_of_peak,samples_ok,samples_skip,samples_expected,check_ok,check_fail,quality,note
throughput,n1_b1,1,1,1,gpu_810MHz,run_gpu_810MHz,0.002673333333333333,0.0,0.0026723333333333334,0.0,4.0,262144.0,0.0,0.0,0.0,3,0,3,3,0,ok,-
throughput,n2_b1,2,1,1,gpu_810MHz,run_gpu_810MHz,0.0026716666666666672,0.0037429819089207727,0.0026776666666666667,0.003734594796464584,8.0,262144.0,0.0,1.016619599619091e-05,1.0143416022590584e-05,3,0,3,3,0,ok,-
throughput,n4_b1,4,1,1,gpu_810MHz,run_gpu_810MHz,0.0034026666666666667,0.011755485893416929,0.0031040000000000004,0.012886597938144327,16.0,262144.0,0.0,3.192870725292718e-05,3.500088527039096e-05,3,0,3,3,0,ok,-
throughput,n8_b1,8,1,1,gpu_810MHz,run_gpu_810MHz,0.003681333333333333,0.03259688518652663,0.0031116666666666667,0.0385645420460632,32.0,262144.0,0.0,8.853537947425228e-05,0.00010474394546477149,3,0,3,3,0,ok,-
throughput,n16_b1,16,1,1,gpu_810MHz,run_gpu_810MHz,0.0037436666666666664,0.08547769566378774,0.0031476666666666667,0.10166260722228106,64.0,262144.0,0.0,0.00023216329348259686,0.0002761226251300482,3,0,3,3,0,ok,-
throughput,n32_b1,32,1,1,gpu_810MHz,run_gpu_810MHz,0.0043423333333333335,0.1842327473708452,0.0043423333333333335,0.1842327473708452,128.0,262144.0,0.0,0.0005003887980930079,0.0005003887980930079,3,0,3,3,0,ok,-
throughput,n64_b1,64,1,1,gpu_810MHz,run_gpu_810MHz,0.004294666666666666,0.447066128531512,0.004296,0.44692737430167595,128.0,131072.0,0.0,0.0012142623171855224,0.001213885451165291,3,0,3,3,0,ok,-
throughput,n128_b1,128,1,1,gpu_810MHz,run_gpu_810MHz,0.004675333333333333,0.9582204477399117,0.004674666666666667,0.9583571021106674,128.0,65536.0,0.0,0.002602592562914775,0.0026029637255734904,3,0,3,3,0,ok,-
throughput,n256_b1,256,1,1,gpu_810MHz,run_gpu_810MHz,0.004679,2.1885018166274843,0.004674,2.1908429610611897,128.0,32768.0,0.0,0.005944121277430893,0.0059504799865423945,3,0,3,3,0,ok,-
throughput,n512_b1,512,1,1,gpu_810MHz,run_gpu_810MHz,0.0051586666666666664,4.466270354096666,0.005154,4.470314318975553,128.01,16384.0,0.0,0.012130697101022181,0.01214168078744142,3,0,3,3,0,ok,-
throughput,n1024_b1,1024,1,1,gpu_810MHz,run_gpu_810MHz,0.005646333333333333,9.067831631147058,0.005645666666666667,9.068902403022967,128.02,8192.0,0.01,0.024628853642864823,0.024631761932838593,3,0,3,3,0,ok,-
throughput,n2048_b1,2048,1,1,gpu_810MHz,run_gpu_810MHz,0.006315000000000001,17.836896278701502,0.006313666666666666,17.840663111768123,128.03,4096.0,0.02,0.048446235633901914,0.04845646661128092,3,0,3,3,0,ok,-
throughput,n4096_b1,4096,1,1,gpu_810MHz,run_gpu_810MHz,0.008028333333333334,30.611583973427443,0.008021333333333333,30.638297872340427,128.06,2048.0,0.03,0.08314316499527251,0.08321572177988443,3,0,3,3,0,ok,-
throughput,n8192_b1,8192,1,1,gpu_810MHz,run_gpu_810MHz,0.012656,42.07332490518331,0.012632333333333334,42.15214924664221,128.12,1024.0,0.06,0.1142740407529358,0.11448813307933257,3,0,3,3,0,ok,-
throughput,n16384_b1,16384,1,1,gpu_810MHz,run_gpu_810MHz,0.016878,67.95117904965043,0.016767333333333332,68.39966601725578,128.25,512.0,0.12,0.18456007033979765,0.18577819175351507,3,0,3,3,0,ok,-
throughput,n32768_b1,32768,1,1,gpu_810MHz,run_gpu_810MHz,0.017764000000000002,138.34721909479845,0.017736,138.5656292286874,128.5,256.0,0.25,0.3757605510979394,0.37635376802569886,3,0,3,3,0,ok,-
throughput,n65536_b1,65536,1,1,gpu_810MHz,run_gpu_810MHz,0.027805999999999997,188.55211105516798,0.027699,189.28047943969096,129.0,128.0,0.5,0.5121204865868794,0.5140987851559538,3,0,3,3,0,ok,-
throughput,n131072_b1,131072,1,1,gpu_810MHz,run_gpu_810MHz,0.051228666666666665,217.478234842471,0.05132066666666666,217.08837245554102,130.0,64.0,1.0,0.5906858259306093,0.589626932905338,3,0,3,3,0,ok,-
throughput,n262144_b1,262144,1,1,gpu_810MHz,run_gpu_810MHz,0.11954766666666666,197.35190704962875,0.119318,197.73177559127708,132.0,32.0,2.0,0.5360213370272647,0.5370530860822041,3,0,3,3,0,ok,-
throughput,n524288_b1,524288,1,1,gpu_810MHz,run_gpu_810MHz,0.24324466666666666,204.7623928719232,0.24325466666666665,204.75397525775458,136.0,16.0,4.0,0.5561487255986302,0.5561258627802834,3,0,3,3,0,ok,-
throughput,n1048576_b1,1048576,1,1,gpu_810MHz,run_gpu_810MHz,0.6392913333333334,164.02161977272746,0.6436320000000001,162.91545479404377,144.0,8.0,8.0,0.4454939870930445,0.44248956702074355,3,0,3,3,0,ok,-
throughput,n2097152_b1,2097152,1,1,gpu_810MHz,run_gpu_810MHz,1.3100723333333333,168.08305495599862,1.3103873333333333,168.0426499849154,160.0,4.0,16.0,0.45652512405915,0.4564153813819884,3,0,3,3,0,ok,-
throughput,n4194304_b1,4194304,1,1,gpu_810MHz,run_gpu_810MHz,2.637585,174.92268116477763,2.624495,175.7951301107451,192.0,2.0,32.0,0.4751020187038747,0.47747164997573216,3,0,3,3,0,ok,-
