workload,case,length,batch,threads_field,profile,family,avg_fwd_ms,avg_fwd_sp_gflops,avg_bwd_ms,avg_bwd_sp_gflops,avg_mem_mb,avg_stream_slots,avg_workarea_mb,fwd_pct_of_peak,bwd_pct_of_peak,samples_ok,samples_skip,samples_expected,check_ok,check_fail,quality,note
throughput,n2_b1,2,1,1,gpu_cache_noreuse,run_gpu_cache_noreuse,0.0018243333333333334,0.0054814544125708015,0.0018000000000000002,0.005555555555555555,8.0,262144.0,0.0,1.4888006743919268e-05,1.5089270538790767e-05,3,0,3,3,0,ok,-
throughput,n2_b10,2,10,1,gpu_cache_noreuse,run_gpu_cache_noreuse,0.0019883333333333333,0.05029337803855826,0.0019193333333333334,0.052101424105592216,80.0,262144.0,0.0,0.0001366002697560271,0.00014151104708140007,3,0,3,3,0,ok,-
throughput,n2_b16,2,16,1,gpu_cache_noreuse,run_gpu_cache_noreuse,0.001989,0.08044243338360986,0.0019066666666666668,0.08391608391608392,128.0,262144.0,0.0,0.0002184871752223098,0.00022792184869781864,3,0,3,3,0,ok,-
throughput,n2_b150,2,150,1,gpu_cache_noreuse,run_gpu_cache_noreuse,0.0020276666666666668,0.7397665625513726,0.0019926666666666665,0.7527601204416193,128.01,27963.0,0.0,0.00200925680362001,0.002044548199468137,3,0,3,3,0,ok,-
throughput,n2_b256,2,256,1,gpu_cache_noreuse,run_gpu_cache_noreuse,0.002043333333333333,1.2528548123980425,0.0019590000000000002,1.3067891781521184,128.01,16384.0,0.0,0.0034028397378180037,0.0035493291803342453,3,0,3,3,0,ok,-
throughput,n2_b1024,2,1024,1,gpu_cache_noreuse,run_gpu_cache_noreuse,0.0019533333333333334,5.242320819112628,0.0019249999999999998,5.31948051948052,128.03,4096.0,0.02,0.01423850347633062,0.01444807452316839,3,0,3,3,0,ok,-
throughput,n4_b1,4,1,1,gpu_cache_noreuse,run_gpu_cache_noreuse,0.0019326666666666667,0.020696791997240428,0.0018006666666666666,0.022213994816734545,16.0,262144.0,0.0,5.621390887165931e-05,6.033473595666061e-05,3,0,3,3,0,ok,-
throughput,n4_b10,4,10,1,gpu_cache_noreuse,run_gpu_cache_noreuse,0.0021626666666666665,0.18495684340320592,0.002163,0.18492834026814609,128.0,209716.0,0.0,0.000502355492660112,0.0005022780761872101,3,0,3,3,0,ok,-
throughput,n4_b16,4,16,1,gpu_cache_noreuse,run_gpu_cache_noreuse,0.002163,0.29588534442903375,0.0021416666666666667,0.2988326848249028,128.0,131072.0,0.0,0.0008036449218995362,0.0008116501008881076,3,0,3,3,0,ok,-
throughput,n4_b150,4,150,1,gpu_cache_noreuse,run_gpu_cache_noreuse,0.002323,2.582866982350409,0.002184666666666667,2.7464144034177598,128.02,13982.0,0.0,0.00701524415923118,0.007459450190064402,3,0,3,3,0,ok,-
throughput,n4_b256,4,256,1,gpu_cache_noreuse,run_gpu_cache_noreuse,0.002166666666666667,4.726153846153846,0.002149,4.765006979990694,128.02,8192.0,0.01,0.012836558518661145,0.012942086299255072,3,0,3,3,0,ok,-
throughput,n4_b1024,4,1024,1,gpu_cache_noreuse,run_gpu_cache_noreuse,0.0022363333333333332,18.315695334625133,0.002198,18.635122838944493,128.06,2048.0,0.03,0.04974668676184078,0.050614273807277795,3,0,3,3,0,ok,-
