workload,case,length,batch,threads_field,profile,family,avg_fwd_ms,avg_fwd_sp_gflops,avg_bwd_ms,avg_bwd_sp_gflops,avg_mem_mb,avg_stream_slots,avg_workarea_mb,fwd_pct_of_peak,bwd_pct_of_peak,samples_ok,samples_skip,samples_expected,check_ok,check_fail,quality,note
throughput,n2_b1,2,1,1,gpu_cache_reuse,run_gpu_cache_reuse,0.001802333333333333,0.005548363232846311,0.0017863333333333333,0.005598059339428998,0.0,1.0,0.0,1.5069735696221597e-05,1.520471373567273e-05,3,0,3,3,0,ok,-
throughput,n4_b1,4,1,1,gpu_cache_reuse,run_gpu_cache_reuse,0.0017833333333333332,0.022429906542056077,0.001769333333333333,0.022607385079125852,0.0,1.0,0.0,6.092116703511788e-05,6.140321093403931e-05,3,0,3,3,0,ok,-
throughput,n8_b1,8,1,1,gpu_cache_reuse,run_gpu_cache_reuse,0.001791,0.06700167504187604,0.0017903333333333332,0.06702662446471794,0.0,1.0,0.0,0.00018198115222662234,0.000182048916573011,3,0,3,3,0,ok,-
throughput,n16_b1,16,1,1,gpu_cache_reuse,run_gpu_cache_reuse,0.0018093333333333331,0.17686072218128224,0.0018086666666666668,0.17692591227423515,0.0,1.0,0.0,0.00048036587124227067,0.0004805429320130935,3,0,3,3,0,ok,-
throughput,n32_b1,32,1,1,gpu_cache_reuse,run_gpu_cache_reuse,0.0020276666666666668,0.3945421666940654,0.0020266666666666666,0.39473684210526316,0.0,1.0,0.0,0.0010716036285973389,0.0010721323803877653,3,0,3,3,0,ok,-
throughput,n64_b1,64,1,1,gpu_cache_reuse,run_gpu_cache_reuse,0.002023,0.949085516559565,0.002023,0.949085516559565,0.0,1.0,0.0,0.0025777814622867474,0.0025777814622867474,3,0,3,3,0,ok,-
throughput,n128_b1,128,1,1,gpu_cache_reuse,run_gpu_cache_reuse,0.0021656666666666664,2.068647067877482,0.002166,2.0683287165281623,0.0,1.0,0.0,0.005618587546166329,0.005617722882031799,3,0,3,3,0,ok,-
throughput,n256_b1,256,1,1,gpu_cache_reuse,run_gpu_cache_reuse,0.0023063333333333334,4.439947969359734,0.0023063333333333334,4.439947969359734,0.01,1.0,0.0,0.012059203695808273,0.012059203695808273,3,0,3,3,0,ok,-
throughput,n512_b1,512,1,1,gpu_cache_reuse,run_gpu_cache_reuse,0.0025906666666666665,8.893463715903243,0.0025906666666666665,8.893463715903243,0.02,1.0,0.0,0.02415525840651303,0.02415525840651303,3,0,3,3,0,ok,-
throughput,n1024_b1,1024,1,1,gpu_cache_reuse,run_gpu_cache_reuse,0.002872666666666667,17.823160826177766,0.0028736666666666667,17.816958589490778,0.03,1.0,0.01,0.04840892920126331,0.0483920835003465,3,0,3,3,0,ok,-
throughput,n2048_b1,2048,1,1,gpu_cache_reuse,run_gpu_cache_reuse,0.003715333333333333,30.317602727435855,0.003722,30.263299301450832,0.06,1.0,0.02,0.0823446917355349,0.08219719990007808,3,0,3,3,0,ok,-
throughput,n4096_b1,4096,1,1,gpu_cache_reuse,run_gpu_cache_reuse,0.0041470000000000005,59.26211719315166,0.0041470000000000005,59.26211719315166,0.12,1.0,0.03,0.16095998142521808,0.16095998142521808,3,0,3,3,0,ok,-
throughput,n8192_b1,8192,1,1,gpu_cache_reuse,run_gpu_cache_reuse,0.007128333333333334,74.69908814589665,0.007122,74.7655153046897,0.25,1.0,0.06,0.20288785500619436,0.20306827573282166,3,0,3,3,0,ok,-
throughput,n16384_b1,16384,1,1,gpu_cache_reuse,run_gpu_cache_reuse,0.008872,129.26961226330027,0.008873666666666667,129.24533263213254,0.5,1.0,0.12,0.35110514733939413,0.35103920219320517,3,0,3,3,0,ok,-
throughput,n32768_b1,32768,1,1,gpu_cache_reuse,run_gpu_cache_reuse,0.007058666666666667,348.1677370608236,0.007057999999999999,348.2006234060641,1.0,1.0,0.25,0.9456474919300806,0.9457368135029466,3,0,3,3,0,ok,-
throughput,n65536_b1,65536,1,1,gpu_cache_reuse,run_gpu_cache_reuse,0.006431666666666666,815.166623477585,0.006441666666666668,813.9011642949546,2.0,1.0,0.5,2.214048548852257,2.210611474779006,3,0,3,3,0,ok,-
