source_log,source_rel,run_id,dataset_id,family,precision,workload,scenario_id,case_id,nx,ny,nz,grid,batch,threads,sweep_var,sweep_value,profile_id,profile_desc,isa,profile_threads,fwd_ms,fwd_gflops,bwd_ms,bwd_gflops,mem_mb
/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_160053.log,/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_160053.log,20260218_160053,1d_single,1d,single,batch_scaling,n16384_t10,n16384_b1_t10,16384,1,1,16384x1x1,1,10,batch,1,avx512_batch_scaling,MKL AVX-512 batch scaling sweep on fixed problem,AVX512,10,0.012431,92.263023,0.014084,81.431381,0.25
/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_160442.log,/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_160442.log,20260218_160442,1d_single,1d,single,batch_scaling,n16384_t10,n16384_b1_t10,16384,1,1,16384x1x1,1,10,batch,1,avx512_batch_scaling,MKL AVX-512 batch scaling sweep on fixed problem,AVX512,10,0.014493,79.136041,0.015326,74.831849,0.25
/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_160832.log,/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_160832.log,20260218_160832,1d_single,1d,single,batch_scaling,n16384_t10,n16384_b1_t10,16384,1,1,16384x1x1,1,10,batch,1,avx512_batch_scaling,MKL AVX-512 batch scaling sweep on fixed problem,AVX512,10,0.013875,82.658683,0.015688,73.103938,0.25
/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_161226.log,/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_161226.log,20260218_161226,1d_single,1d,single,batch_scaling,n16384_t10,n16384_b1_t10,16384,1,1,16384x1x1,1,10,batch,1,avx512_batch_scaling,MKL AVX-512 batch scaling sweep on fixed problem,AVX512,10,0.014182,80.868189,0.014941,76.758995,0.25
/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_161625.log,/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_161625.log,20260218_161625,1d_single,1d,single,batch_scaling,n16384_t10,n16384_b1_t10,16384,1,1,16384x1x1,1,10,batch,1,avx512_batch_scaling,MKL AVX-512 batch scaling sweep on fixed problem,AVX512,10,0.013516,84.851281,0.014827,77.349965,0.25
/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_160053.log,/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_160053.log,20260218_160053,1d_single,1d,single,batch_scaling,n16384_t10,n16384_b4_t10,16384,1,1,16384x1x1,4,10,batch,4,avx512_batch_scaling,MKL AVX-512 batch scaling sweep on fixed problem,AVX512,10,0.096569,47.505316,0.09798,46.820768,1.0
/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_160442.log,/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_160442.log,20260218_160442,1d_single,1d,single,batch_scaling,n16384_t10,n16384_b4_t10,16384,1,1,16384x1x1,4,10,batch,4,avx512_batch_scaling,MKL AVX-512 batch scaling sweep on fixed problem,AVX512,10,0.114579,40.038082,0.116348,39.42945,1.0
/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_160832.log,/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_160832.log,20260218_160832,1d_single,1d,single,batch_scaling,n16384_t10,n16384_b4_t10,16384,1,1,16384x1x1,4,10,batch,4,avx512_batch_scaling,MKL AVX-512 batch scaling sweep on fixed problem,AVX512,10,0.122366,37.490058,0.124643,36.805278,1.0
/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_161226.log,/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_161226.log,20260218_161226,1d_single,1d,single,batch_scaling,n16384_t10,n16384_b4_t10,16384,1,1,16384x1x1,4,10,batch,4,avx512_batch_scaling,MKL AVX-512 batch scaling sweep on fixed problem,AVX512,10,0.126954,36.135264,0.128453,35.713583,1.0
/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_161625.log,/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_161625.log,20260218_161625,1d_single,1d,single,batch_scaling,n16384_t10,n16384_b4_t10,16384,1,1,16384x1x1,4,10,batch,4,avx512_batch_scaling,MKL AVX-512 batch scaling sweep on fixed problem,AVX512,10,0.096723,47.429413,0.097407,47.096383,1.0
/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_160053.log,/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_160053.log,20260218_160053,1d_single,1d,single,batch_scaling,n16384_t10,n16384_b16_t10,16384,1,1,16384x1x1,16,10,batch,16,avx512_batch_scaling,MKL AVX-512 batch scaling sweep on fixed problem,AVX512,10,0.043918,417.825139,0.044877,408.895862,4.0
/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_160442.log,/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_160442.log,20260218_160442,1d_single,1d,single,batch_scaling,n16384_t10,n16384_b16_t10,16384,1,1,16384x1x1,16,10,batch,16,avx512_batch_scaling,MKL AVX-512 batch scaling sweep on fixed problem,AVX512,10,0.046058,398.415434,0.048222,380.533042,4.0
/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_160832.log,/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_160832.log,20260218_160832,1d_single,1d,single,batch_scaling,n16384_t10,n16384_b16_t10,16384,1,1,16384x1x1,16,10,batch,16,avx512_batch_scaling,MKL AVX-512 batch scaling sweep on fixed problem,AVX512,10,0.12232,150.016819,0.049917,367.608276,4.0
/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_161226.log,/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_161226.log,20260218_161226,1d_single,1d,single,batch_scaling,n16384_t10,n16384_b16_t10,16384,1,1,16384x1x1,16,10,batch,16,avx512_batch_scaling,MKL AVX-512 batch scaling sweep on fixed problem,AVX512,10,0.049745,368.881051,0.050285,364.918565,4.0
/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_161625.log,/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_161625.log,20260218_161625,1d_single,1d,single,batch_scaling,n16384_t10,n16384_b16_t10,16384,1,1,16384x1x1,16,10,batch,16,avx512_batch_scaling,MKL AVX-512 batch scaling sweep on fixed problem,AVX512,10,0.043446,422.366699,0.046779,392.27044,4.0
/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_160053.log,/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_160053.log,20260218_160053,1d_single,1d,single,batch_scaling,n16384_t10,n16384_b64_t10,16384,1,1,16384x1x1,64,10,batch,64,avx512_batch_scaling,MKL AVX-512 batch scaling sweep on fixed problem,AVX512,10,0.19311,380.095034,0.199392,368.120142,16.0
/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_160442.log,/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_160442.log,20260218_160442,1d_single,1d,single,batch_scaling,n16384_t10,n16384_b64_t10,16384,1,1,16384x1x1,64,10,batch,64,avx512_batch_scaling,MKL AVX-512 batch scaling sweep on fixed problem,AVX512,10,0.200951,365.263892,0.200773,365.588816,16.0
/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_160832.log,/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_160832.log,20260218_160832,1d_single,1d,single,batch_scaling,n16384_t10,n16384_b64_t10,16384,1,1,16384x1x1,64,10,batch,64,avx512_batch_scaling,MKL AVX-512 batch scaling sweep on fixed problem,AVX512,10,0.209531,350.307333,0.241245,304.256147,16.0
/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_161226.log,/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_161226.log,20260218_161226,1d_single,1d,single,batch_scaling,n16384_t10,n16384_b64_t10,16384,1,1,16384x1x1,64,10,batch,64,avx512_batch_scaling,MKL AVX-512 batch scaling sweep on fixed problem,AVX512,10,0.224275,327.277522,0.222259,330.246116,16.0
/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_161625.log,/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_161625.log,20260218_161625,1d_single,1d,single,batch_scaling,n16384_t10,n16384_b64_t10,16384,1,1,16384x1x1,64,10,batch,64,avx512_batch_scaling,MKL AVX-512 batch scaling sweep on fixed problem,AVX512,10,0.245668,298.778942,0.225554,325.422157,16.0
/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_160053.log,/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_160053.log,20260218_160053,1d_single,1d,single,batch_scaling,n16384_t10,n16384_b256_t10,16384,1,1,16384x1x1,256,10,batch,256,avx512_batch_scaling,MKL AVX-512 batch scaling sweep on fixed problem,AVX512,10,1.407549,208.590408,1.471828,199.480741,64.0
/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_160442.log,/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_160442.log,20260218_160442,1d_single,1d,single,batch_scaling,n16384_t10,n16384_b256_t10,16384,1,1,16384x1x1,256,10,batch,256,avx512_batch_scaling,MKL AVX-512 batch scaling sweep on fixed problem,AVX512,10,1.399899,209.73034,1.423681,206.226897,64.0
/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_160832.log,/home/nikhil/workspace/xeon-fft-bench/src/1-d-fft/fft_logs/fft_benchmark_20260218_160832.log,20260218_160832,1d_single,1d,single,batch_scaling,n16384_t10,n16384_b256_t10,16384,1,1,16384x1x1,256,10,batch,256,avx512_batch_scaling,MKL AVX-512 batch scaling sweep on fixed problem,AVX512,10,1.667859,176.03487,1.72468,170.235202,64.0
