Function                                           CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Spin Time:Imbalance or Serial Spinning  CPU Time:Spin Time:Lock Contention  CPU Time:Spin Time:Other  CPU Time:Overhead Time  CPU Time:Overhead Time:Creation  CPU Time:Overhead Time:Scheduling  CPU Time:Overhead Time:Reduction  CPU Time:Overhead Time:Atomics  CPU Time:Overhead Time:Other  Module                Function (Full)                                  Source File      Start Address
-------------------------------------------------  --------  -----------------------  ------------------  -----------------------------------------------  ----------------------------------  ------------------------  ----------------------  -------------------------------  ---------------------------------  --------------------------------  ------------------------------  ----------------------------  --------------------  -----------------------------------------------  ---------------  -------------
__kmp_fork_barrier                                  25.777s                       0s             25.777s                                          24.858s                                  0s                    0.920s                      0s                               0s                                 0s                                0s                              0s                            0s  libiomp5.so           __kmp_fork_barrier(int, int)                     kmp_barrier.cpp  0x82a40      
avx512_copy_64bytes                                 12.631s                  12.631s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libmkl_avx512.so.2    avx512_copy_64bytes                              [Unknown]        0x23f5ef0    
rand                                                 8.757s                   8.757s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc.so.6             rand                                             [Unknown]        0x51e90      
[MKL FFT]@avx512_mg_colbatch_plain_fwd_16_d          6.661s                   6.661s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libmkl_avx512.so.2    mkl_dft_avx512_mg_colbatch_plain_fwd_16_d        [Unknown]        0x219afd0    
avx512_copy_64bytes                                  5.110s                   5.110s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libmkl_avx512.so.2    avx512_copy_64bytes                              [Unknown]        0x23ffaa0    
[MKL FFT]@avx512_mg_colbatch_plain_bwd_16_d          5.011s                   5.011s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libmkl_avx512.so.2    mkl_dft_avx512_mg_colbatch_plain_bwd_16_d        [Unknown]        0x219f700    
[MKL FFT]@avx512_coDFTColTwid_Compact_Fwd_v_16_d     2.360s                   2.360s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libmkl_avx512.so.2    mkl_dft_avx512_coDFTColTwid_Compact_Fwd_v_16_d   [Unknown]        0x23b3380    
[MKL FFT]@avx512_coDFTColTwid_Compact_Bwd_v_16_d     1.780s                   1.780s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libmkl_avx512.so.2    mkl_dft_avx512_coDFTColTwid_Compact_Bwd_v_16_d   [Unknown]        0x237dd40    
__memset_evex_unaligned_erms                         1.718s                   1.718s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc.so.6             __memset_evex_unaligned_erms                     [Unknown]        0xb9700      
[MKL FFT]@avx512_coDFTColBatch_Compact_Fwd_v_16_d    1.580s                   1.580s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libmkl_avx512.so.2    mkl_dft_avx512_coDFTColBatch_Compact_Fwd_v_16_d  [Unknown]        0x22fd800    
[MKL FFT]@avx512_coDFTColBatch_Compact_Bwd_v_16_d    1.190s                   1.190s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libmkl_avx512.so.2    mkl_dft_avx512_coDFTColBatch_Compact_Bwd_v_16_d  [Unknown]        0x2273040    
run_benchmark                                        1.021s                   1.021s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  fft_avx512            run_benchmark                                    [Unknown]        0x4013c0     
compute_task                                         0.780s                   0.780s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libmkl_avx512.so.2    compute_task                                     [Unknown]        0x206dfd0    
[MKL FFT]@avx512_coDFTColBatch_Compact_Fwd_v_8_d     0.640s                   0.640s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libmkl_avx512.so.2    mkl_dft_avx512_coDFTColBatch_Compact_Fwd_v_8_d   [Unknown]        0x236a860    
[MKL FFT]@avx512_coDFTColBatch_Compact_Bwd_v_8_d     0.580s                   0.580s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libmkl_avx512.so.2    mkl_dft_avx512_coDFTColBatch_Compact_Bwd_v_8_d   [Unknown]        0x22e3c00    
[MKL FFT]@avx512_mg_rowbatch_twidl_fwd_008_d         0.540s                   0.540s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libmkl_avx512.so.2    mkl_dft_avx512_mg_rowbatch_twidl_fwd_008_d       [Unknown]        0x212eee0    
[MKL FFT]@avx512_mg_rowbatch_twidl_fwd_016_d         0.480s                   0.480s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libmkl_avx512.so.2    mkl_dft_avx512_mg_rowbatch_twidl_fwd_016_d       [Unknown]        0x213c1a0    
compute_colbatch_xwd                                 0.370s                   0.370s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libmkl_avx512.so.2    compute_colbatch_xwd                             [Unknown]        0x20bb8b0    
[MKL FFT]@avx512_mg_rowbatch_twidl_bwd_008_d         0.370s                   0.370s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libmkl_avx512.so.2    mkl_dft_avx512_mg_rowbatch_twidl_bwd_008_d       [Unknown]        0x212f8e0    
compute_2d                                           0.230s                   0.230s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libmkl_avx512.so.2    compute_2d                                       [Unknown]        0x206efd0    
[MKL FFT]@avx512_mg_rowbatch_twidl_bwd_016_d         0.220s                   0.220s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libmkl_avx512.so.2    mkl_dft_avx512_mg_rowbatch_twidl_bwd_016_d       [Unknown]        0x213d860    
func@0x400c00                                        0.150s                   0.150s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  fft_avx512            func@0x400c00                                    [Unknown]        0x400c00     
munmap                                               0.133s                   0.133s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc.so.6             munmap                                           [Unknown]        0x39440      
