Function                                           CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Spin Time:Imbalance or Serial Spinning  CPU Time:Spin Time:Lock Contention  CPU Time:Spin Time:Other  CPU Time:Overhead Time  CPU Time:Overhead Time:Creation  CPU Time:Overhead Time:Scheduling  CPU Time:Overhead Time:Reduction  CPU Time:Overhead Time:Atomics  CPU Time:Overhead Time:Other  Module                    Function (Full)                                  Source File      Start Address
-------------------------------------------------  --------  -----------------------  ------------------  -----------------------------------------------  ----------------------------------  ------------------------  ----------------------  -------------------------------  ---------------------------------  --------------------------------  ------------------------------  ----------------------------  ------------------------  -----------------------------------------------  ---------------  -------------
__kmp_fork_barrier                                  26.164s                       0s             26.164s                                          25.014s                                  0s                    1.150s                      0s                               0s                                 0s                                0s                              0s                            0s  libiomp5.so               __kmp_fork_barrier(int, int)                     kmp_barrier.cpp  0x82a40      
avx512_copy_64bytes                                 12.451s                  12.451s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libmkl_avx512.so.2        avx512_copy_64bytes                              [Unknown]        0x23f5ef0    
rand                                                 8.876s                   8.876s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc.so.6                 rand                                             [Unknown]        0x51e90      
[MKL FFT]@avx512_mg_colbatch_plain_fwd_16_d          6.880s                   6.880s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libmkl_avx512.so.2        mkl_dft_avx512_mg_colbatch_plain_fwd_16_d        [Unknown]        0x219afd0    
avx512_copy_64bytes                                  6.320s                   6.320s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libmkl_avx512.so.2        avx512_copy_64bytes                              [Unknown]        0x23ffaa0    
[MKL FFT]@avx512_mg_colbatch_plain_bwd_16_d          4.990s                   4.990s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libmkl_avx512.so.2        mkl_dft_avx512_mg_colbatch_plain_bwd_16_d        [Unknown]        0x219f700    
[MKL FFT]@avx512_coDFTColTwid_Compact_Fwd_v_16_d     2.190s                   2.190s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libmkl_avx512.so.2        mkl_dft_avx512_coDFTColTwid_Compact_Fwd_v_16_d   [Unknown]        0x23b3380    
[MKL FFT]@avx512_coDFTColTwid_Compact_Bwd_v_16_d     1.780s                   1.780s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libmkl_avx512.so.2        mkl_dft_avx512_coDFTColTwid_Compact_Bwd_v_16_d   [Unknown]        0x237dd40    
[MKL FFT]@avx512_coDFTColBatch_Compact_Fwd_v_16_d    1.600s                   1.600s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libmkl_avx512.so.2        mkl_dft_avx512_coDFTColBatch_Compact_Fwd_v_16_d  [Unknown]        0x22fd800    
[MKL FFT]@avx512_coDFTColBatch_Compact_Bwd_v_16_d    1.380s                   1.380s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libmkl_avx512.so.2        mkl_dft_avx512_coDFTColBatch_Compact_Bwd_v_16_d  [Unknown]        0x2273040    
__memset_evex_unaligned_erms                         1.171s                   1.171s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc.so.6                 __memset_evex_unaligned_erms                     [Unknown]        0xb9700      
compute_task                                         0.969s                   0.969s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libmkl_avx512.so.2        compute_task                                     [Unknown]        0x206dfd0    
[MKL FFT]@avx512_coDFTColBatch_Compact_Fwd_v_8_d     0.730s                   0.730s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libmkl_avx512.so.2        mkl_dft_avx512_coDFTColBatch_Compact_Fwd_v_8_d   [Unknown]        0x236a860    
